"UF";"Abrangência";"Partido";"Eleitores";"%"
"AL";"ÁGUA BRANCA";"AVANTE";"5";"0,003"
"AL";"ÁGUA BRANCA";"CIDADANIA";"63";"0,035"
"AL";"ÁGUA BRANCA";"DC";"12";"0,007"
"AL";"ÁGUA BRANCA";"DEM";"24";"0,013"
"AL";"ÁGUA BRANCA";"MDB";"175";"0,096"
"AL";"ÁGUA BRANCA";"PATRIOTA";"31";"0,017"
"AL";"ÁGUA BRANCA";"PCB";"1";"0,001"
"AL";"ÁGUA BRANCA";"PCDOB";"33";"0,018"
"AL";"ÁGUA BRANCA";"PDT";"103";"0,057"
"AL";"ÁGUA BRANCA";"PL";"101";"0,056"
"AL";"ÁGUA BRANCA";"PMB";"5";"0,003"
"AL";"ÁGUA BRANCA";"PMN";"19";"0,010"
"AL";"ÁGUA BRANCA";"PODE";"43";"0,024"
"AL";"ÁGUA BRANCA";"PP";"171";"0,094"
"AL";"ÁGUA BRANCA";"PROS";"42";"0,023"
"AL";"ÁGUA BRANCA";"PRTB";"5";"0,003"
"AL";"ÁGUA BRANCA";"PSB";"150";"0,083"
"AL";"ÁGUA BRANCA";"PSC";"68";"0,037"
"AL";"ÁGUA BRANCA";"PSD";"53";"0,029"
"AL";"ÁGUA BRANCA";"PSDB";"67";"0,037"
"AL";"ÁGUA BRANCA";"PSL";"10";"0,006"
"AL";"ÁGUA BRANCA";"PSOL";"1";"0,001"
"AL";"ÁGUA BRANCA";"PT";"80";"0,044"
"AL";"ÁGUA BRANCA";"PTB";"55";"0,030"
"AL";"ÁGUA BRANCA";"PTC";"21";"0,012"
"AL";"ÁGUA BRANCA";"PV";"33";"0,018"
"AL";"ÁGUA BRANCA";"REPUBLICANOS";"99";"0,054"
"AL";"ÁGUA BRANCA";"SOLIDARIEDADE";"15";"0,008"
"AL";"ANADIA";"AVANTE";"42";"0,023"
"AL";"ANADIA";"CIDADANIA";"62";"0,034"
"AL";"ANADIA";"DC";"5";"0,003"
"AL";"ANADIA";"DEM";"62";"0,034"
"AL";"ANADIA";"MDB";"81";"0,045"
"AL";"ANADIA";"PATRIOTA";"36";"0,020"
"AL";"ANADIA";"PCDOB";"2";"0,001"
"AL";"ANADIA";"PDT";"66";"0,036"
"AL";"ANADIA";"PL";"45";"0,025"
"AL";"ANADIA";"PMN";"13";"0,007"
"AL";"ANADIA";"PODE";"44";"0,024"
"AL";"ANADIA";"PP";"202";"0,111"
"AL";"ANADIA";"PROS";"51";"0,028"
"AL";"ANADIA";"PRTB";"46";"0,025"
"AL";"ANADIA";"PSB";"46";"0,025"
"AL";"ANADIA";"PSC";"45";"0,025"
"AL";"ANADIA";"PSD";"5";"0,003"
"AL";"ANADIA";"PSDB";"123";"0,068"
"AL";"ANADIA";"PSL";"19";"0,010"
"AL";"ANADIA";"PSOL";"3";"0,002"
"AL";"ANADIA";"PT";"45";"0,025"
