"UF";"Abrangência";"Partido";"Eleitores";"%"
"RS";"ACEGUÁ";"DEM";"59";"0,004"
"RS";"ACEGUÁ";"MDB";"203";"0,015"
"RS";"ACEGUÁ";"PCDOB";"3";"0,000"
"RS";"ACEGUÁ";"PDT";"28";"0,002"
"RS";"ACEGUÁ";"PL";"32";"0,002"
"RS";"ACEGUÁ";"PODE";"4";"0,000"
"RS";"ACEGUÁ";"PP";"76";"0,006"
"RS";"ACEGUÁ";"PSB";"22";"0,002"
"RS";"ACEGUÁ";"PSC";"2";"0,000"
"RS";"ACEGUÁ";"PSD";"34";"0,003"
"RS";"ACEGUÁ";"PSDB";"162";"0,012"
"RS";"ACEGUÁ";"PSL";"3";"0,000"
"RS";"ACEGUÁ";"PT";"153";"0,012"
"RS";"ACEGUÁ";"PTB";"90";"0,007"
"RS";"ACEGUÁ";"PTC";"1";"0,000"
"RS";"ACEGUÁ";"PV";"1";"0,000"
"RS";"ACEGUÁ";"REPUBLICANOS";"1";"0,000"
"RS";"ÁGUA SANTA";"CIDADANIA";"18";"0,001"
"RS";"ÁGUA SANTA";"DEM";"1";"0,000"
"RS";"ÁGUA SANTA";"MDB";"559";"0,042"
"RS";"ÁGUA SANTA";"PDT";"89";"0,007"
"RS";"ÁGUA SANTA";"PP";"91";"0,007"
"RS";"ÁGUA SANTA";"PSC";"3";"0,000"
"RS";"ÁGUA SANTA";"PSDB";"86";"0,007"
"RS";"ÁGUA SANTA";"PT";"71";"0,005"
"RS";"ÁGUA SANTA";"PTB";"2";"0,000"
"RS";"ÁGUA SANTA";"PTC";"1";"0,000"
"RS";"ÁGUA SANTA";"REPUBLICANOS";"1";"0,000"
"RS";"AGUDO";"CIDADANIA";"10";"0,001"
"RS";"AGUDO";"DEM";"110";"0,008"
"RS";"AGUDO";"MDB";"412";"0,031"
"RS";"AGUDO";"NOVO";"133";"0,010"
"RS";"AGUDO";"PATRIOTA";"1";"0,000"
"RS";"AGUDO";"PDT";"158";"0,012"
"RS";"AGUDO";"PL";"123";"0,009"
"RS";"AGUDO";"PODE";"2";"0,000"
"RS";"AGUDO";"PP";"321";"0,024"
"RS";"AGUDO";"PSB";"15";"0,001"
"RS";"AGUDO";"PSD";"1";"0,000"
"RS";"AGUDO";"PSDB";"105";"0,008"
"RS";"AGUDO";"PSL";"4";"0,000"
"RS";"AGUDO";"PSOL";"1";"0,000"
"RS";"AGUDO";"PT";"102";"0,008"
"RS";"AGUDO";"PTB";"53";"0,004"
"RS";"AGUDO";"REPUBLICANOS";"30";"0,002"
"RS";"AJURICABA";"DC";"1";"0,000"
"RS";"AJURICABA";"DEM";"2";"0,000"
"RS";"AJURICABA";"MDB";"205";"0,016"
"RS";"AJURICABA";"PCDOB";"18";"0,001"
"RS";"AJURICABA";"PDT";"142";"0,011"
"RS";"AJURICABA";"PODE";"1";"0,000"
"RS";"AJURICABA";"PP";"349";"0,027"
"RS";"AJURICABA";"PSB";"2";"0,000"
"RS";"AJURICABA";"PSD";"1";"0,000"
"RS";"AJURICABA";"PSDB";"8";"0,001"
"RS";"AJURICABA";"PSL";"11";"0,001"
"RS";"AJURICABA";"PT";"284";"0,022"
"RS";"AJURICABA";"PTB";"235";"0,018"
"RS";"ALECRIM";"AVANTE";"1";"0,000"
"RS";"ALECRIM";"CIDADANIA";"32";"0,002"
"RS";"ALECRIM";"DEM";"2";"0,000"
"RS";"ALECRIM";"MDB";"451";"0,034"
"RS";"ALECRIM";"PCDOB";"1";"0,000"
"RS";"ALECRIM";"PDT";"176";"0,013"
"RS";"ALECRIM";"PL";"3";"0,000"
"RS";"ALECRIM";"PP";"82";"0,006"
"RS";"ALECRIM";"PSB";"23";"0,002"
"RS";"ALECRIM";"PSD";"2";"0,000"
"RS";"ALECRIM";"PSDB";"1";"0,000"
"RS";"ALECRIM";"PT";"109";"0,008"
"RS";"ALECRIM";"PTB";"33";"0,003"
"RS";"ALEGRETE";"AVANTE";"2";"0,000"
"RS";"ALEGRETE";"CIDADANIA";"202";"0,015"
"RS";"ALEGRETE";"DEM";"257";"0,020"
"RS";"ALEGRETE";"MDB";"1294";"0,098"
"RS";"ALEGRETE";"NOVO";"3";"0,000"
"RS";"ALEGRETE";"PCB";"8";"0,001"
"RS";"ALEGRETE";"PCDOB";"41";"0,003"
"RS";"ALEGRETE";"PDT";"1258";"0,096"
"RS";"ALEGRETE";"PL";"72";"0,005"
"RS";"ALEGRETE";"PMN";"1";"0,000"
"RS";"ALEGRETE";"PODE";"5";"0,000"
"RS";"ALEGRETE";"PP";"3080";"0,234"
"RS";"ALEGRETE";"PRTB";"126";"0,010"
"RS";"ALEGRETE";"PSB";"144";"0,011"
"RS";"ALEGRETE";"PSC";"58";"0,004"
"RS";"ALEGRETE";"PSD";"240";"0,018"
"RS";"ALEGRETE";"PSDB";"621";"0,047"
"RS";"ALEGRETE";"PSL";"7";"0,001"
"RS";"ALEGRETE";"PSOL";"79";"0,006"
"RS";"ALEGRETE";"PT";"707";"0,054"
"RS";"ALEGRETE";"PTB";"405";"0,031"
"RS";"ALEGRETE";"PTC";"1";"0,000"
"RS";"ALEGRETE";"PV";"5";"0,000"
"RS";"ALEGRETE";"REPUBLICANOS";"183";"0,014"
"RS";"ALEGRETE";"SOLIDARIEDADE";"48";"0,004"
"RS";"ALEGRIA";"CIDADANIA";"3";"0,000"
"RS";"ALEGRIA";"DEM";"122";"0,009"
"RS";"ALEGRIA";"MDB";"310";"0,024"
"RS";"ALEGRIA";"PCDOB";"1";"0,000"
"RS";"ALEGRIA";"PDT";"85";"0,006"
"RS";"ALEGRIA";"PP";"259";"0,020"
"RS";"ALEGRIA";"PSB";"39";"0,003"
"RS";"ALEGRIA";"PSDB";"25";"0,002"
"RS";"ALEGRIA";"PT";"28";"0,002"
"RS";"ALEGRIA";"PTB";"49";"0,004"
"RS";"ALEGRIA";"PV";"1";"0,000"
"RS";"ALEGRIA";"REPUBLICANOS";"9";"0,001"
"RS";"ALMIRANTE TAMANDARÉ DO SUL";"DEM";"14";"0,001"
