"UF";"Abrangência";"Partido";"Eleitores";"%"
"PI";"ACAUÃ";"DEM";"22";"0,007"
"PI";"ACAUÃ";"MDB";"90";"0,029"
"PI";"ACAUÃ";"PC DO B";"6";"0,002"
"PI";"ACAUÃ";"PDT";"28";"0,009"
"PI";"ACAUÃ";"PMN";"2";"0,001"
"PI";"ACAUÃ";"PP";"42";"0,014"
"PI";"ACAUÃ";"PPS";"50";"0,016"
"PI";"ACAUÃ";"PR";"36";"0,012"
"PI";"ACAUÃ";"PRTB";"7";"0,002"
"PI";"ACAUÃ";"PSB";"45";"0,015"
"PI";"ACAUÃ";"PSC";"1";"0,000"
"PI";"ACAUÃ";"PSD";"48";"0,016"
"PI";"ACAUÃ";"PSDB";"35";"0,011"
"PI";"ACAUÃ";"PT";"73";"0,024"
"PI";"ACAUÃ";"PTB";"100";"0,032"
"PI";"ACAUÃ";"PV";"27";"0,009"
"PI";"ACAUÃ";"SD";"10";"0,003"
"PI";"AGRICOLÂNDIA";"DEM";"192";"0,062"
"PI";"AGRICOLÂNDIA";"MDB";"149";"0,048"
"PI";"AGRICOLÂNDIA";"PDT";"77";"0,025"
"PI";"AGRICOLÂNDIA";"PMN";"7";"0,002"
"PI";"AGRICOLÂNDIA";"PODE";"5";"0,002"
"PI";"AGRICOLÂNDIA";"PP";"41";"0,013"
"PI";"AGRICOLÂNDIA";"PPS";"81";"0,026"
"PI";"AGRICOLÂNDIA";"PR";"50";"0,016"
"PI";"AGRICOLÂNDIA";"PRB";"9";"0,003"
"PI";"AGRICOLÂNDIA";"PRP";"6";"0,002"
"PI";"AGRICOLÂNDIA";"PRTB";"27";"0,009"
"PI";"AGRICOLÂNDIA";"PSB";"10";"0,003"
"PI";"AGRICOLÂNDIA";"PSD";"73";"0,024"
"PI";"AGRICOLÂNDIA";"PSDB";"101";"0,033"
"PI";"AGRICOLÂNDIA";"PT";"71";"0,023"
"PI";"AGRICOLÂNDIA";"PTB";"93";"0,030"
"PI";"ÁGUA BRANCA";"AVANTE";"40";"0,013"
"PI";"ÁGUA BRANCA";"DC";"34";"0,011"
"PI";"ÁGUA BRANCA";"DEM";"67";"0,022"
"PI";"ÁGUA BRANCA";"MDB";"189";"0,061"
"PI";"ÁGUA BRANCA";"PC DO B";"114";"0,037"
"PI";"ÁGUA BRANCA";"PCB";"7";"0,002"
"PI";"ÁGUA BRANCA";"PDT";"113";"0,037"
"PI";"ÁGUA BRANCA";"PHS";"26";"0,008"
"PI";"ÁGUA BRANCA";"PMB";"46";"0,015"
"PI";"ÁGUA BRANCA";"PMN";"30";"0,010"
"PI";"ÁGUA BRANCA";"PODE";"141";"0,046"
"PI";"ÁGUA BRANCA";"PP";"151";"0,049"
"PI";"ÁGUA BRANCA";"PPL";"34";"0,011"
"PI";"ÁGUA BRANCA";"PPS";"79";"0,026"
"PI";"ÁGUA BRANCA";"PR";"63";"0,020"
"PI";"ÁGUA BRANCA";"PRB";"31";"0,010"
"PI";"ÁGUA BRANCA";"PROS";"3";"0,001"
"PI";"ÁGUA BRANCA";"PRP";"36";"0,012"
"PI";"ÁGUA BRANCA";"PRTB";"15";"0,005"
"PI";"ÁGUA BRANCA";"PSB";"114";"0,037"
"PI";"ÁGUA BRANCA";"PSC";"13";"0,004"
"PI";"ÁGUA BRANCA";"PSD";"50";"0,016"
"PI";"ÁGUA BRANCA";"PSDB";"88";"0,029"
"PI";"ÁGUA BRANCA";"PSL";"40";"0,013"
"PI";"ÁGUA BRANCA";"PT";"70";"0,023"
"PI";"ÁGUA BRANCA";"PTB";"105";"0,034"
"PI";"ÁGUA BRANCA";"PTC";"66";"0,021"
"PI";"ÁGUA BRANCA";"PV";"55";"0,018"
"PI";"ÁGUA BRANCA";"REDE";"8";"0,003"
"PI";"ÁGUA BRANCA";"SD";"14";"0,005"
"PI";"ALAGOINHA DO PIAUÍ";"DEM";"61";"0,020"
"PI";"ALAGOINHA DO PIAUÍ";"MDB";"124";"0,040"
"PI";"ALAGOINHA DO PIAUÍ";"PC DO B";"68";"0,022"
"PI";"ALAGOINHA DO PIAUÍ";"PDT";"41";"0,013"
"PI";"ALAGOINHA DO PIAUÍ";"PP";"131";"0,042"
"PI";"ALAGOINHA DO PIAUÍ";"PPL";"1";"0,000"
"PI";"ALAGOINHA DO PIAUÍ";"PPS";"36";"0,012"
"PI";"ALAGOINHA DO PIAUÍ";"PR";"48";"0,016"
"PI";"ALAGOINHA DO PIAUÍ";"PRB";"24";"0,008"
"PI";"ALAGOINHA DO PIAUÍ";"PROS";"22";"0,007"
"PI";"ALAGOINHA DO PIAUÍ";"PRP";"75";"0,024"
"PI";"ALAGOINHA DO PIAUÍ";"PRTB";"25";"0,008"
"PI";"ALAGOINHA DO PIAUÍ";"PSB";"69";"0,022"
"PI";"ALAGOINHA DO PIAUÍ";"PSC";"1";"0,000"
"PI";"ALAGOINHA DO PIAUÍ";"PSD";"33";"0,011"
"PI";"ALAGOINHA DO PIAUÍ";"PSDB";"9";"0,003"
"PI";"ALAGOINHA DO PIAUÍ";"PT";"70";"0,023"
"PI";"ALAGOINHA DO PIAUÍ";"PTB";"37";"0,012"
"PI";"ALAGOINHA DO PIAUÍ";"PTC";"21";"0,007"
"PI";"ALAGOINHA DO PIAUÍ";"SD";"65";"0,021"
"PI";"ALEGRETE DO PIAUÍ";"DEM";"101";"0,033"
"PI";"ALEGRETE DO PIAUÍ";"MDB";"41";"0,013"
"PI";"ALEGRETE DO PIAUÍ";"PC DO B";"13";"0,004"
"PI";"ALEGRETE DO PIAUÍ";"PDT";"17";"0,006"
"PI";"ALEGRETE DO PIAUÍ";"PMN";"29";"0,009"
"PI";"ALEGRETE DO PIAUÍ";"PODE";"21";"0,007"
"PI";"ALEGRETE DO PIAUÍ";"PP";"78";"0,025"
"PI";"ALEGRETE DO PIAUÍ";"PPS";"74";"0,024"
"PI";"ALEGRETE DO PIAUÍ";"PR";"35";"0,011"
"PI";"ALEGRETE DO PIAUÍ";"PRB";"21";"0,007"
"PI";"ALEGRETE DO PIAUÍ";"PROS";"14";"0,005"
"PI";"ALEGRETE DO PIAUÍ";"PRP";"28";"0,009"
"PI";"ALEGRETE DO PIAUÍ";"PRTB";"39";"0,013"
"PI";"ALEGRETE DO PIAUÍ";"PSB";"61";"0,020"
"PI";"ALEGRETE DO PIAUÍ";"PSC";"61";"0,020"
"PI";"ALEGRETE DO PIAUÍ";"PSD";"68";"0,022"
"PI";"ALEGRETE DO PIAUÍ";"PSDB";"95";"0,031"
"PI";"ALEGRETE DO PIAUÍ";"PT";"20";"0,006"
"PI";"ALEGRETE DO PIAUÍ";"PTB";"50";"0,016"
"PI";"ALEGRETE DO PIAUÍ";"PTC";"7";"0,002"
"PI";"ALEGRETE DO PIAUÍ";"PV";"55";"0,018"
"PI";"ALEGRETE DO PIAUÍ";"REDE";"13";"0,004"
"PI";"ALEGRETE DO PIAUÍ";"SD";"20";"0,006"
"PI";"ALTO LONGÁ";"DEM";"186";"0,060"
"PI";"ALTO LONGÁ";"MDB";"266";"0,086"
"PI";"ALTO LONGÁ";"PATRI";"1";"0,000"
"PI";"ALTO LONGÁ";"PC DO B";"23";"0,007"
"PI";"ALTO LONGÁ";"PDT";"131";"0,042"
"PI";"ALTO LONGÁ";"PODE";"8";"0,003"
"PI";"ALTO LONGÁ";"PP";"69";"0,022"
"PI";"ALTO LONGÁ";"PPL";"1";"0,000"
"PI";"ALTO LONGÁ";"PPS";"79";"0,026"
"PI";"ALTO LONGÁ";"PR";"65";"0,021"
"PI";"ALTO LONGÁ";"PRB";"18";"0,006"
"PI";"ALTO LONGÁ";"PROS";"11";"0,004"
"PI";"ALTO LONGÁ";"PSB";"71";"0,023"
"PI";"ALTO LONGÁ";"PSC";"19";"0,006"
"PI";"ALTO LONGÁ";"PSD";"53";"0,017"
"PI";"ALTO LONGÁ";"PSDB";"209";"0,068"
"PI";"ALTO LONGÁ";"PSL";"2";"0,001"
"PI";"ALTO LONGÁ";"PT";"219";"0,071"
"PI";"ALTO LONGÁ";"PTB";"182";"0,059"
"PI";"ALTO LONGÁ";"PTC";"3";"0,001"
"PI";"ALTO LONGÁ";"PV";"31";"0,010"
"PI";"ALTO LONGÁ";"REDE";"1";"0,000"
"PI";"ALTO LONGÁ";"SD";"1";"0,000"
"PI";"ALTOS";"DC";"33";"0,011"
"PI";"ALTOS";"DEM";"132";"0,043"
"PI";"ALTOS";"MDB";"631";"0,205"
"PI";"ALTOS";"PATRI";"1";"0,000"
"PI";"ALTOS";"PC DO B";"150";"0,049"
