"UF";"Abrangência";"Partido";"Eleitores";"%"
"MA";"AÇAILÂNDIA";"AVANTE";"50";"0,009"
"MA";"AÇAILÂNDIA";"DC";"361";"0,062"
"MA";"AÇAILÂNDIA";"DEM";"568";"0,098"
"MA";"AÇAILÂNDIA";"MDB";"292";"0,050"
"MA";"AÇAILÂNDIA";"NOVO";"1";"0,000"
"MA";"AÇAILÂNDIA";"PATRI";"31";"0,005"
"MA";"AÇAILÂNDIA";"PC DO B";"223";"0,039"
"MA";"AÇAILÂNDIA";"PCB";"27";"0,005"
"MA";"AÇAILÂNDIA";"PDT";"193";"0,033"
"MA";"AÇAILÂNDIA";"PHS";"324";"0,056"
"MA";"AÇAILÂNDIA";"PMB";"56";"0,010"
"MA";"AÇAILÂNDIA";"PMN";"276";"0,048"
"MA";"AÇAILÂNDIA";"PODE";"48";"0,008"
"MA";"AÇAILÂNDIA";"PP";"485";"0,084"
"MA";"AÇAILÂNDIA";"PPL";"1";"0,000"
"MA";"AÇAILÂNDIA";"PPS";"84";"0,015"
"MA";"AÇAILÂNDIA";"PR";"247";"0,043"
"MA";"AÇAILÂNDIA";"PRB";"171";"0,030"
"MA";"AÇAILÂNDIA";"PROS";"63";"0,011"
"MA";"AÇAILÂNDIA";"PRP";"129";"0,022"
"MA";"AÇAILÂNDIA";"PRTB";"99";"0,017"
"MA";"AÇAILÂNDIA";"PSB";"242";"0,042"
"MA";"AÇAILÂNDIA";"PSC";"143";"0,025"
"MA";"AÇAILÂNDIA";"PSD";"115";"0,020"
"MA";"AÇAILÂNDIA";"PSDB";"923";"0,159"
"MA";"AÇAILÂNDIA";"PSL";"140";"0,024"
"MA";"AÇAILÂNDIA";"PSOL";"139";"0,024"
"MA";"AÇAILÂNDIA";"PT";"380";"0,066"
"MA";"AÇAILÂNDIA";"PTB";"531";"0,092"
"MA";"AÇAILÂNDIA";"PTC";"241";"0,042"
"MA";"AÇAILÂNDIA";"PV";"133";"0,023"
"MA";"AÇAILÂNDIA";"REDE";"19";"0,003"
"MA";"AÇAILÂNDIA";"SD";"45";"0,008"
"MA";"AFONSO CUNHA";"AVANTE";"25";"0,004"
"MA";"AFONSO CUNHA";"DC";"23";"0,004"
"MA";"AFONSO CUNHA";"DEM";"98";"0,017"
"MA";"AFONSO CUNHA";"MDB";"115";"0,020"
"MA";"AFONSO CUNHA";"PATRI";"24";"0,004"
"MA";"AFONSO CUNHA";"PC DO B";"39";"0,007"
"MA";"AFONSO CUNHA";"PDT";"55";"0,009"
"MA";"AFONSO CUNHA";"PHS";"11";"0,002"
"MA";"AFONSO CUNHA";"PMN";"15";"0,003"
"MA";"AFONSO CUNHA";"PODE";"13";"0,002"
"MA";"AFONSO CUNHA";"PP";"102";"0,018"
"MA";"AFONSO CUNHA";"PPS";"30";"0,005"
"MA";"AFONSO CUNHA";"PR";"42";"0,007"
"MA";"AFONSO CUNHA";"PRB";"9";"0,002"
"MA";"AFONSO CUNHA";"PRP";"34";"0,006"
"MA";"AFONSO CUNHA";"PRTB";"42";"0,007"
"MA";"AFONSO CUNHA";"PSB";"141";"0,024"
"MA";"AFONSO CUNHA";"PSC";"51";"0,009"
"MA";"AFONSO CUNHA";"PSD";"40";"0,007"
"MA";"AFONSO CUNHA";"PSDB";"77";"0,013"
"MA";"AFONSO CUNHA";"PSL";"35";"0,006"
"MA";"AFONSO CUNHA";"PT";"28";"0,005"
"MA";"AFONSO CUNHA";"PTB";"132";"0,023"
"MA";"AFONSO CUNHA";"PTC";"45";"0,008"
"MA";"AFONSO CUNHA";"PV";"31";"0,005"
"MA";"AFONSO CUNHA";"REDE";"1";"0,000"
"MA";"ÁGUA DOCE DO MARANHÃO";"AVANTE";"3";"0,001"
"MA";"ÁGUA DOCE DO MARANHÃO";"DC";"36";"0,006"
"MA";"ÁGUA DOCE DO MARANHÃO";"DEM";"178";"0,031"
"MA";"ÁGUA DOCE DO MARANHÃO";"MDB";"114";"0,020"
"MA";"ÁGUA DOCE DO MARANHÃO";"PATRI";"32";"0,006"
"MA";"ÁGUA DOCE DO MARANHÃO";"PC DO B";"25";"0,004"
"MA";"ÁGUA DOCE DO MARANHÃO";"PDT";"162";"0,028"
"MA";"ÁGUA DOCE DO MARANHÃO";"PHS";"8";"0,001"
"MA";"ÁGUA DOCE DO MARANHÃO";"PMN";"87";"0,015"
"MA";"ÁGUA DOCE DO MARANHÃO";"PODE";"8";"0,001"
"MA";"ÁGUA DOCE DO MARANHÃO";"PP";"65";"0,011"
"MA";"ÁGUA DOCE DO MARANHÃO";"PPS";"49";"0,008"
"MA";"ÁGUA DOCE DO MARANHÃO";"PR";"62";"0,011"
"MA";"ÁGUA DOCE DO MARANHÃO";"PRB";"23";"0,004"
"MA";"ÁGUA DOCE DO MARANHÃO";"PROS";"2";"0,000"
"MA";"ÁGUA DOCE DO MARANHÃO";"PRP";"26";"0,004"
"MA";"ÁGUA DOCE DO MARANHÃO";"PRTB";"78";"0,013"
"MA";"ÁGUA DOCE DO MARANHÃO";"PSB";"45";"0,008"
"MA";"ÁGUA DOCE DO MARANHÃO";"PSC";"31";"0,005"
"MA";"ÁGUA DOCE DO MARANHÃO";"PSD";"50";"0,009"
"MA";"ÁGUA DOCE DO MARANHÃO";"PSDB";"189";"0,033"
"MA";"ÁGUA DOCE DO MARANHÃO";"PSL";"31";"0,005"
"MA";"ÁGUA DOCE DO MARANHÃO";"PT";"41";"0,007"
"MA";"ÁGUA DOCE DO MARANHÃO";"PTB";"192";"0,033"
"MA";"ÁGUA DOCE DO MARANHÃO";"PTC";"51";"0,009"
"MA";"ÁGUA DOCE DO MARANHÃO";"PV";"79";"0,014"
"MA";"ÁGUA DOCE DO MARANHÃO";"SD";"2";"0,000"
"MA";"ALCÂNTARA";"AVANTE";"56";"0,010"
"MA";"ALCÂNTARA";"DC";"41";"0,007"
"MA";"ALCÂNTARA";"DEM";"219";"0,038"
"MA";"ALCÂNTARA";"MDB";"217";"0,037"
"MA";"ALCÂNTARA";"NOVO";"1";"0,000"
"MA";"ALCÂNTARA";"PATRI";"3";"0,001"
"MA";"ALCÂNTARA";"PC DO B";"87";"0,015"
"MA";"ALCÂNTARA";"PDT";"138";"0,024"
"MA";"ALCÂNTARA";"PHS";"34";"0,006"
"MA";"ALCÂNTARA";"PMB";"35";"0,006"
"MA";"ALCÂNTARA";"PMN";"62";"0,011"
"MA";"ALCÂNTARA";"PODE";"14";"0,002"
"MA";"ALCÂNTARA";"PP";"106";"0,018"
"MA";"ALCÂNTARA";"PPL";"9";"0,002"
"MA";"ALCÂNTARA";"PPS";"8";"0,001"
"MA";"ALCÂNTARA";"PR";"64";"0,011"
"MA";"ALCÂNTARA";"PRB";"33";"0,006"
"MA";"ALCÂNTARA";"PROS";"9";"0,002"
"MA";"ALCÂNTARA";"PRP";"14";"0,002"
"MA";"ALCÂNTARA";"PRTB";"46";"0,008"
"MA";"ALCÂNTARA";"PSB";"135";"0,023"
"MA";"ALCÂNTARA";"PSC";"160";"0,028"
"MA";"ALCÂNTARA";"PSD";"83";"0,014"
"MA";"ALCÂNTARA";"PSDB";"188";"0,032"
"MA";"ALCÂNTARA";"PSL";"81";"0,014"
"MA";"ALCÂNTARA";"PSOL";"64";"0,011"
"MA";"ALCÂNTARA";"PSTU";"3";"0,001"
"MA";"ALCÂNTARA";"PT";"207";"0,036"
"MA";"ALCÂNTARA";"PTB";"165";"0,028"
"MA";"ALCÂNTARA";"PTC";"76";"0,013"
"MA";"ALCÂNTARA";"PV";"151";"0,026"
"MA";"ALCÂNTARA";"SD";"49";"0,008"
"MA";"ALDEIAS ALTAS";"AVANTE";"12";"0,002"
"MA";"ALDEIAS ALTAS";"DC";"56";"0,010"
"MA";"ALDEIAS ALTAS";"DEM";"180";"0,031"
"MA";"ALDEIAS ALTAS";"MDB";"207";"0,036"
"MA";"ALDEIAS ALTAS";"PATRI";"12";"0,002"
"MA";"ALDEIAS ALTAS";"PC DO B";"97";"0,017"
"MA";"ALDEIAS ALTAS";"PDT";"186";"0,032"
"MA";"ALDEIAS ALTAS";"PHS";"27";"0,005"
"MA";"ALDEIAS ALTAS";"PMB";"12";"0,002"
"MA";"ALDEIAS ALTAS";"PMN";"25";"0,004"
"MA";"ALDEIAS ALTAS";"PODE";"23";"0,004"
"MA";"ALDEIAS ALTAS";"PP";"191";"0,033"
"MA";"ALDEIAS ALTAS";"PPL";"43";"0,007"
"MA";"ALDEIAS ALTAS";"PPS";"76";"0,013"
"MA";"ALDEIAS ALTAS";"PR";"192";"0,033"
"MA";"ALDEIAS ALTAS";"PRB";"14";"0,002"
"MA";"ALDEIAS ALTAS";"PROS";"23";"0,004"
"MA";"ALDEIAS ALTAS";"PRP";"106";"0,018"
"MA";"ALDEIAS ALTAS";"PRTB";"99";"0,017"
"MA";"ALDEIAS ALTAS";"PSB";"48";"0,008"
"MA";"ALDEIAS ALTAS";"PSC";"112";"0,019"
"MA";"ALDEIAS ALTAS";"PSD";"34";"0,006"
"MA";"ALDEIAS ALTAS";"PSDB";"200";"0,035"
"MA";"ALDEIAS ALTAS";"PSL";"80";"0,014"
"MA";"ALDEIAS ALTAS";"PT";"165";"0,028"
"MA";"ALDEIAS ALTAS";"PTB";"110";"0,019"
"MA";"ALDEIAS ALTAS";"PTC";"85";"0,015"
"MA";"ALDEIAS ALTAS";"PV";"64";"0,011"
"MA";"ALDEIAS ALTAS";"REDE";"9";"0,002"
"MA";"ALDEIAS ALTAS";"SD";"38";"0,007"
"MA";"ALTAMIRA DO MARANHÃO";"AVANTE";"22";"0,004"
"MA";"ALTAMIRA DO MARANHÃO";"DC";"11";"0,002"
"MA";"ALTAMIRA DO MARANHÃO";"DEM";"125";"0,022"
"MA";"ALTAMIRA DO MARANHÃO";"MDB";"112";"0,019"
"MA";"ALTAMIRA DO MARANHÃO";"PC DO B";"46";"0,008"
"MA";"ALTAMIRA DO MARANHÃO";"PDT";"77";"0,013"
"MA";"ALTAMIRA DO MARANHÃO";"PHS";"28";"0,005"
"MA";"ALTAMIRA DO MARANHÃO";"PMN";"91";"0,016"
"MA";"ALTAMIRA DO MARANHÃO";"PP";"61";"0,011"
"MA";"ALTAMIRA DO MARANHÃO";"PPL";"1";"0,000"
"MA";"ALTAMIRA DO MARANHÃO";"PPS";"47";"0,008"
"MA";"ALTAMIRA DO MARANHÃO";"PR";"27";"0,005"
"MA";"ALTAMIRA DO MARANHÃO";"PRB";"46";"0,008"
"MA";"ALTAMIRA DO MARANHÃO";"PRP";"112";"0,019"
"MA";"ALTAMIRA DO MARANHÃO";"PRTB";"10";"0,002"
"MA";"ALTAMIRA DO MARANHÃO";"PSB";"90";"0,016"
"MA";"ALTAMIRA DO MARANHÃO";"PSC";"59";"0,010"
"MA";"ALTAMIRA DO MARANHÃO";"PSD";"63";"0,011"
"MA";"ALTAMIRA DO MARANHÃO";"PSDB";"61";"0,011"
"MA";"ALTAMIRA DO MARANHÃO";"PSL";"54";"0,009"
"MA";"ALTAMIRA DO MARANHÃO";"PSOL";"1";"0,000"
"MA";"ALTAMIRA DO MARANHÃO";"PT";"38";"0,007"
"MA";"ALTAMIRA DO MARANHÃO";"PTB";"119";"0,021"
"MA";"ALTAMIRA DO MARANHÃO";"PV";"57";"0,010"
"MA";"ALTAMIRA DO MARANHÃO";"SD";"25";"0,004"
"MA";"ALTO ALEGRE DO MARANHÃO";"AVANTE";"20";"0,003"
"MA";"ALTO ALEGRE DO MARANHÃO";"DEM";"188";"0,032"
"MA";"ALTO ALEGRE DO MARANHÃO";"MDB";"122";"0,021"
"MA";"ALTO ALEGRE DO MARANHÃO";"PATRI";"22";"0,004"
"MA";"ALTO ALEGRE DO MARANHÃO";"PC DO B";"82";"0,014"
"MA";"ALTO ALEGRE DO MARANHÃO";"PCB";"71";"0,012"
"MA";"ALTO ALEGRE DO MARANHÃO";"PDT";"146";"0,025"
"MA";"ALTO ALEGRE DO MARANHÃO";"PHS";"86";"0,015"
"MA";"ALTO ALEGRE DO MARANHÃO";"PMN";"45";"0,008"
"MA";"ALTO ALEGRE DO MARANHÃO";"PODE";"5";"0,001"
"MA";"ALTO ALEGRE DO MARANHÃO";"PP";"94";"0,016"
"MA";"ALTO ALEGRE DO MARANHÃO";"PPS";"56";"0,010"
"MA";"ALTO ALEGRE DO MARANHÃO";"PR";"86";"0,015"
"MA";"ALTO ALEGRE DO MARANHÃO";"PRB";"7";"0,001"
"MA";"ALTO ALEGRE DO MARANHÃO";"PROS";"6";"0,001"
"MA";"ALTO ALEGRE DO MARANHÃO";"PRP";"50";"0,009"
"MA";"ALTO ALEGRE DO MARANHÃO";"PRTB";"33";"0,006"
"MA";"ALTO ALEGRE DO MARANHÃO";"PSB";"135";"0,023"
"MA";"ALTO ALEGRE DO MARANHÃO";"PSC";"93";"0,016"
"MA";"ALTO ALEGRE DO MARANHÃO";"PSD";"16";"0,003"
"MA";"ALTO ALEGRE DO MARANHÃO";"PSDB";"169";"0,029"
"MA";"ALTO ALEGRE DO MARANHÃO";"PSL";"48";"0,008"
"MA";"ALTO ALEGRE DO MARANHÃO";"PT";"49";"0,008"
"MA";"ALTO ALEGRE DO MARANHÃO";"PTB";"225";"0,039"
"MA";"ALTO ALEGRE DO MARANHÃO";"PTC";"24";"0,004"
"MA";"ALTO ALEGRE DO MARANHÃO";"PV";"76";"0,013"
"MA";"ALTO ALEGRE DO MARANHÃO";"SD";"39";"0,007"
"MA";"ALTO ALEGRE DO PINDARÉ";"AVANTE";"64";"0,011"
"MA";"ALTO ALEGRE DO PINDARÉ";"DC";"25";"0,004"
"MA";"ALTO ALEGRE DO PINDARÉ";"DEM";"188";"0,032"
"MA";"ALTO ALEGRE DO PINDARÉ";"MDB";"128";"0,022"
