"UF";"Abrangência";"Partido";"Eleitores";"%"
"SC";"ABDON BATISTA";"CIDADANIA";"4";"0,000"
"SC";"ABDON BATISTA";"DEM";"16";"0,002"
"SC";"ABDON BATISTA";"MDB";"176";"0,020"
"SC";"ABDON BATISTA";"PL";"29";"0,003"
"SC";"ABDON BATISTA";"PP";"105";"0,012"
"SC";"ABDON BATISTA";"PSB";"12";"0,001"
"SC";"ABDON BATISTA";"PSD";"151";"0,018"
"SC";"ABDON BATISTA";"PSDB";"177";"0,021"
"SC";"ABDON BATISTA";"PSOL";"1";"0,000"
"SC";"ABDON BATISTA";"PT";"66";"0,008"
"SC";"ABDON BATISTA";"PTB";"3";"0,000"
"SC";"ABDON BATISTA";"PV";"2";"0,000"
"SC";"ABDON BATISTA";"REPUBLICANOS";"1";"0,000"
"SC";"ABELARDO LUZ";"AVANTE";"2";"0,000"
"SC";"ABELARDO LUZ";"CIDADANIA";"24";"0,003"
"SC";"ABELARDO LUZ";"DC";"1";"0,000"
"SC";"ABELARDO LUZ";"DEM";"305";"0,035"
"SC";"ABELARDO LUZ";"MDB";"390";"0,045"
"SC";"ABELARDO LUZ";"NOVO";"1";"0,000"
"SC";"ABELARDO LUZ";"PATRIOTA";"12";"0,001"
"SC";"ABELARDO LUZ";"PCDOB";"33";"0,004"
"SC";"ABELARDO LUZ";"PDT";"92";"0,011"
"SC";"ABELARDO LUZ";"PL";"242";"0,028"
"SC";"ABELARDO LUZ";"PMN";"1";"0,000"
"SC";"ABELARDO LUZ";"PODE";"31";"0,004"
"SC";"ABELARDO LUZ";"PP";"377";"0,044"
"SC";"ABELARDO LUZ";"PROS";"1";"0,000"
"SC";"ABELARDO LUZ";"PRTB";"1";"0,000"
"SC";"ABELARDO LUZ";"PSB";"48";"0,006"
"SC";"ABELARDO LUZ";"PSC";"93";"0,011"
"SC";"ABELARDO LUZ";"PSD";"104";"0,012"
"SC";"ABELARDO LUZ";"PSDB";"126";"0,015"
"SC";"ABELARDO LUZ";"PSL";"12";"0,001"
"SC";"ABELARDO LUZ";"PSOL";"41";"0,005"
"SC";"ABELARDO LUZ";"PSTU";"1";"0,000"
"SC";"ABELARDO LUZ";"PT";"411";"0,048"
"SC";"ABELARDO LUZ";"PTB";"78";"0,009"
"SC";"ABELARDO LUZ";"PTC";"20";"0,002"
"SC";"ABELARDO LUZ";"PV";"6";"0,001"
"SC";"ABELARDO LUZ";"REDE";"13";"0,002"
"SC";"ABELARDO LUZ";"REPUBLICANOS";"63";"0,007"
"SC";"ABELARDO LUZ";"SOLIDARIEDADE";"2";"0,000"
