"UF";"Abrangência";"Partido";"Eleitores";"%"
"DF";"BRASÍLIA";"AVANTE";"2423";"1,179"
"DF";"BRASÍLIA";"DC";"550";"0,268"
"DF";"BRASÍLIA";"DEM";"18394";"8,953"
"DF";"BRASÍLIA";"MDB";"25376";"12,351"
"DF";"BRASÍLIA";"NOVO";"602";"0,293"
"DF";"BRASÍLIA";"PATRI";"570";"0,277"
"DF";"BRASÍLIA";"PC DO B";"1629";"0,793"
"DF";"BRASÍLIA";"PCB";"542";"0,264"
"DF";"BRASÍLIA";"PCO";"97";"0,047"
"DF";"BRASÍLIA";"PDT";"12544";"6,105"
"DF";"BRASÍLIA";"PHS";"2963";"1,442"
"DF";"BRASÍLIA";"PMB";"222";"0,108"
"DF";"BRASÍLIA";"PMN";"2231";"1,086"
"DF";"BRASÍLIA";"PODE";"1257";"0,612"
"DF";"BRASÍLIA";"PP";"18850";"9,175"
"DF";"BRASÍLIA";"PPL";"738";"0,359"
"DF";"BRASÍLIA";"PPS";"5399";"2,628"
"DF";"BRASÍLIA";"PR";"11675";"5,682"
"DF";"BRASÍLIA";"PRB";"2935";"1,429"
"DF";"BRASÍLIA";"PROS";"1126";"0,548"
"DF";"BRASÍLIA";"PRP";"1510";"0,735"
"DF";"BRASÍLIA";"PRTB";"3813";"1,856"
"DF";"BRASÍLIA";"PSB";"6338";"3,085"
"DF";"BRASÍLIA";"PSC";"14016";"6,822"
"DF";"BRASÍLIA";"PSD";"496";"0,241"
"DF";"BRASÍLIA";"PSDB";"28138";"13,695"
"DF";"BRASÍLIA";"PSL";"1686";"0,821"
"DF";"BRASÍLIA";"PSOL";"3465";"1,686"
"DF";"BRASÍLIA";"PSTU";"502";"0,244"
"DF";"BRASÍLIA";"PT";"19630";"9,554"
"DF";"BRASÍLIA";"PTB";"5215";"2,538"
"DF";"BRASÍLIA";"PTC";"2261";"1,100"
"DF";"BRASÍLIA";"PV";"1072";"0,522"
"DF";"BRASÍLIA";"REDE";"593";"0,289"
"DF";"BRASÍLIA";"SD";"6602";"3,213"
"";"TOTAL";"";"205460";""
