"Abrangência";"Partido";"Eleitores";"%"
"RO";"AVANTE";"1.666";"0,010"
"RO";"DC";"5.437";"0,032"
"RO";"DEM";"9.534";"0,057"
"RO";"MDB";"22.938";"0,137"
"RO";"NOVO";"73";"0,000"
"RO";"PATRI";"503";"0,003"
"RO";"PC DO B";"3.452";"0,021"
"RO";"PCB";"121";"0,001"
"RO";"PCO";"18";"0,000"
"RO";"PDT";"10.309";"0,061"
"RO";"PHS";"1.760";"0,010"
"RO";"PMB";"15";"0,000"
"RO";"PMN";"2.592";"0,015"
"RO";"PODE";"3.465";"0,021"
"RO";"PP";"15.696";"0,094"
"RO";"PPL";"55";"0,000"
"RO";"PPS";"3.516";"0,021"
"RO";"PR";"6.586";"0,039"
"RO";"PRB";"3.945";"0,024"
"RO";"PROS";"742";"0,004"
"RO";"PRP";"2.647";"0,016"
"RO";"PRTB";"680";"0,004"
"RO";"PSB";"7.417";"0,044"
"RO";"PSC";"5.205";"0,031"
"RO";"PSD";"2.070";"0,012"
"RO";"PSDB";"18.293";"0,109"
"RO";"PSL";"2.727";"0,016"
"RO";"PSOL";"767";"0,005"
"RO";"PSTU";"387";"0,002"
"RO";"PT";"13.729";"0,082"
"RO";"PTB";"12.714";"0,076"
"RO";"PTC";"2.183";"0,013"
"RO";"PV";"6.648";"0,040"
"RO";"REDE";"190";"0,001"
"RO";"SD";"1.724";"0,010"
"RR";"AVANTE";"579";"0,003"
"RR";"DC";"1.196";"0,007"
"RR";"DEM";"3.386";"0,020"
"RR";"MDB";"3.218";"0,019"
"RR";"NOVO";"31";"0,000"
"RR";"PATRI";"437";"0,003"
"RR";"PC DO B";"1.322";"0,008"
"RR";"PCB";"15";"0,000"
"RR";"PCO";"49";"0,000"
"RR";"PDT";"5.119";"0,031"
"RR";"PHS";"982";"0,006"
"RR";"PMB";"255";"0,002"
"RR";"PMN";"1.370";"0,008"
"RR";"PODE";"1.219";"0,007"
"RR";"PP";"4.527";"0,027"
"RR";"PPL";"188";"0,001"
"RR";"PPS";"1.928";"0,011"
"RR";"PR";"2.139";"0,013"
"RR";"PRB";"2.016";"0,012"
"RR";"PROS";"414";"0,002"
"RR";"PRP";"6.959";"0,041"
"RR";"PRTB";"2.298";"0,014"
"RR";"PSB";"1.313";"0,008"
"RR";"PSC";"904";"0,005"
"RR";"PSD";"740";"0,004"
"RR";"PSDB";"5.175";"0,031"
"RR";"PSL";"1.186";"0,007"
"RR";"PSOL";"517";"0,003"
"RR";"PSTU";"28";"0,000"
"RR";"PT";"1.462";"0,009"
"RR";"PTB";"4.175";"0,025"
"RR";"PTC";"459";"0,003"
"RR";"PV";"1.073";"0,006"
"RR";"REDE";"106";"0,001"
"RR";"SD";"632";"0,004"
"RS";"AVANTE";"3.675";"0,022"
"RS";"DC";"1.506";"0,009"
"RS";"DEM";"58.585";"0,349"
"RS";"MDB";"261.991";"1,561"
"RS";"NOVO";"1.650";"0,010"
"RS";"PATRI";"1.736";"0,010"
"RS";"PC DO B";"22.661";"0,135"
"RS";"PCB";"206";"0,001"
"RS";"PCO";"118";"0,001"
"RS";"PDT";"263.626";"1,571"
"RS";"PHS";"7.649";"0,046"
"RS";"PMB";"43";"0,000"
"RS";"PMN";"1.913";"0,011"
"RS";"PODE";"1.552";"0,009"
"RS";"PP";"217.766";"1,298"
"RS";"PPL";"1.184";"0,007"
"RS";"PPS";"29.405";"0,175"
"RS";"PR";"23.775";"0,142"
"RS";"PRB";"21.830";"0,130"
"RS";"PROS";"2.140";"0,013"
"RS";"PRP";"643";"0,004"
"RS";"PRTB";"1.816";"0,011"
"RS";"PSB";"59.427";"0,354"
"RS";"PSC";"8.024";"0,048"
"RS";"PSD";"14.388";"0,086"
"RS";"PSDB";"98.801";"0,589"
"RS";"PSL";"3.228";"0,019"
"RS";"PSOL";"10.541";"0,063"
"RS";"PSTU";"838";"0,005"
"RS";"PT";"148.192";"0,883"
"RS";"PTB";"128.974";"0,769"
"RS";"PTC";"2.929";"0,017"
"RS";"PV";"8.815";"0,053"
"RS";"REDE";"2.399";"0,014"
"RS";"SD";"7.667";"0,046"
"SC";"AVANTE";"973";"0,006"
"SC";"DC";"2.148";"0,013"
"SC";"DEM";"110.305";"0,657"
"SC";"MDB";"196.081";"1,169"
"SC";"NOVO";"1.075";"0,006"
"SC";"PATRI";"1.742";"0,010"
"SC";"PC DO B";"6.687";"0,040"
"SC";"PCB";"30";"0,000"
"SC";"PCO";"27";"0,000"
"SC";"PDT";"42.570";"0,254"
"SC";"PHS";"1.831";"0,011"
"SC";"PMB";"53";"0,000"
"SC";"PMN";"2.417";"0,014"
"SC";"PODE";"1.619";"0,010"
"SC";"PP";"140.748";"0,839"
"SC";"PPL";"219";"0,001"
"SC";"PPS";"22.530";"0,134"
"SC";"PR";"37.551";"0,224"
"SC";"PRB";"14.882";"0,089"
"SC";"PROS";"656";"0,004"
"SC";"PRP";"4.705";"0,028"
"SC";"PRTB";"766";"0,005"
"SC";"PSB";"19.834";"0,118"
"SC";"PSC";"11.934";"0,071"
"SC";"PSD";"48.901";"0,291"
"SC";"PSDB";"105.062";"0,626"
"SC";"PSL";"2.983";"0,018"
"SC";"PSOL";"1.792";"0,011"
"SC";"PSTU";"275";"0,002"
"SC";"PT";"58.349";"0,348"
"SC";"PTB";"24.329";"0,145"
"SC";"PTC";"9.236";"0,055"
"SC";"PV";"6.149";"0,037"
"SC";"REDE";"417";"0,002"
"SC";"SD";"4.551";"0,027"
"SE";"AVANTE";"3.518";"0,021"
"SE";"DC";"1.892";"0,011"
"SE";"DEM";"12.701";"0,076"
"SE";"MDB";"15.689";"0,093"
"SE";"NOVO";"110";"0,001"
"SE";"PATRI";"1.156";"0,007"
"SE";"PC DO B";"5.220";"0,031"
"SE";"PCB";"945";"0,006"
"SE";"PCO";"86";"0,001"
"SE";"PDT";"10.979";"0,065"
"SE";"PHS";"3.457";"0,021"
"SE";"PMB";"340";"0,002"
"SE";"PMN";"4.063";"0,024"
"SE";"PODE";"3.293";"0,020"
"SE";"PP";"9.221";"0,055"
"SE";"PPL";"556";"0,003"
"SE";"PPS";"10.132";"0,060"
"SE";"PR";"9.128";"0,054"
"SE";"PRB";"4.287";"0,026"
"SE";"PROS";"1.351";"0,008"
"SE";"PRP";"2.675";"0,016"
"SE";"PRTB";"1.503";"0,009"
"SE";"PSB";"9.178";"0,055"
"SE";"PSC";"6.468";"0,039"
"SE";"PSD";"3.784";"0,023"
"SE";"PSDB";"11.172";"0,067"
"SE";"PSL";"4.209";"0,025"
"SE";"PSOL";"777";"0,005"
"SE";"PSTU";"906";"0,005"
"SE";"PT";"16.281";"0,097"
"SE";"PTB";"9.276";"0,055"
"SE";"PTC";"3.228";"0,019"
"SE";"PV";"5.115";"0,030"
"SE";"REDE";"661";"0,004"
"SE";"SD";"3.223";"0,019"
"SP";"AVANTE";"31.668";"0,189"
"SP";"DC";"43.115";"0,257"
"SP";"DEM";"129.089";"0,769"
"SP";"MDB";"522.275";"3,112"
"SP";"NOVO";"6.166";"0,037"
"SP";"PATRI";"17.900";"0,107"
"SP";"PC DO B";"74.295";"0,443"
"SP";"PCB";"1.798";"0,011"
"SP";"PCO";"841";"0,005"
"SP";"PDT";"155.340";"0,926"
"SP";"PHS";"34.468";"0,205"
"SP";"PMB";"9.415";"0,056"
"SP";"PMN";"36.002";"0,215"
"SP";"PODE";"28.014";"0,167"
"SP";"PP";"225.168";"1,342"
"SP";"PPL";"5.050";"0,030"
"SP";"PPS";"93.552";"0,558"
"SP";"PR";"149.751";"0,892"
"SP";"PRB";"60.593";"0,361"
"SP";"PROS";"14.722";"0,088"
"SP";"PRP";"66.552";"0,397"
"SP";"PRTB";"18.950";"0,113"
"SP";"PSB";"123.283";"0,735"
"SP";"PSC";"58.373";"0,348"
"SP";"PSD";"42.854";"0,255"
"SP";"PSDB";"309.788";"1,846"
"SP";"PSL";"44.685";"0,266"
"SP";"PSOL";"27.319";"0,163"
"SP";"PSTU";"3.817";"0,023"
"SP";"PT";"382.838";"2,281"
"SP";"PTB";"334.311";"1,992"
"SP";"PTC";"22.051";"0,131"
"SP";"PV";"94.013";"0,560"
"SP";"REDE";"2.482";"0,015"
"SP";"SD";"44.869";"0,267"
"TO";"AVANTE";"514";"0,003"
"TO";"DC";"1.816";"0,011"
"TO";"DEM";"18.256";"0,109"
"TO";"MDB";"32.852";"0,196"
"TO";"NOVO";"29";"0,000"
"TO";"PATRI";"1.317";"0,008"
"TO";"PC DO B";"1.718";"0,010"
"TO";"PCB";"42";"0,000"
"TO";"PCO";"1";"0,000"
"TO";"PDT";"8.048";"0,048"
"TO";"PHS";"2.312";"0,014"
"TO";"PMB";"264";"0,002"
"TO";"PMN";"2.442";"0,015"
"TO";"PODE";"2.967";"0,018"
"TO";"PP";"19.149";"0,114"
"TO";"PPL";"371";"0,002"
"TO";"PPS";"6.659";"0,040"
"TO";"PR";"13.062";"0,078"
"TO";"PRB";"6.180";"0,037"
"TO";"PROS";"2.027";"0,012"
"TO";"PRP";"2.272";"0,014"
"TO";"PRTB";"3.044";"0,018"
"TO";"PSB";"9.033";"0,054"
"TO";"PSC";"3.473";"0,021"
"TO";"PSD";"7.310";"0,044"
"TO";"PSDB";"16.603";"0,099"
"TO";"PSL";"3.538";"0,021"
"TO";"PSOL";"632";"0,004"
"TO";"PSTU";"9";"0,000"
"TO";"PT";"12.757";"0,076"
"TO";"PTB";"9.981";"0,059"
"TO";"PTC";"2.714";"0,016"
"TO";"PV";"6.715";"0,040"
"TO";"REDE";"188";"0,001"
"TO";"SD";"2.214";"0,013"
"TOTAL";"";"16.780.417";""
"ZZ";"AVANTE";"7";"0,000"
"ZZ";"DC";"4";"0,000"
"ZZ";"DEM";"95";"0,001"
"ZZ";"MDB";"223";"0,001"
"ZZ";"NOVO";"30";"0,000"
"ZZ";"PC DO B";"13";"0,000"
"ZZ";"PCB";"2";"0,000"
"ZZ";"PDT";"100";"0,001"
"ZZ";"PHS";"4";"0,000"
"ZZ";"PMN";"11";"0,000"
"ZZ";"PODE";"4";"0,000"
"ZZ";"PP";"124";"0,001"
"ZZ";"PPS";"28";"0,000"
"ZZ";"PR";"69";"0,000"
"ZZ";"PRP";"13";"0,000"
"ZZ";"PRTB";"3";"0,000"
"ZZ";"PSB";"45";"0,000"
"ZZ";"PSC";"19";"0,000"
"ZZ";"PSDB";"161";"0,001"
"ZZ";"PSL";"19";"0,000"
"ZZ";"PSTU";"1";"0,000"
"ZZ";"PT";"152";"0,001"
"ZZ";"PTB";"115";"0,001"
"ZZ";"PTC";"17";"0,000"
"ZZ";"PV";"24";"0,000"
