"Abrangência";"Partido";"Eleitores";"%"
"BA";"DEM";"89.579";"0,534"
"BA";"MDB";"93.146";"0,555"
"BA";"NOVO";"437";"0,003"
"BA";"PATRI";"6.229";"0,037"
"BA";"PC DO B";"40.838";"0,243"
"BA";"PCB";"577";"0,003"
"BA";"PCO";"500";"0,003"
"BA";"PDT";"45.896";"0,274"
"BA";"PHS";"14.850";"0,088"
"BA";"PMB";"2.195";"0,013"
"BA";"PMN";"12.182";"0,073"
"BA";"PODE";"16.558";"0,099"
"BA";"PP";"73.109";"0,436"
"BA";"PPL";"4.009";"0,024"
"BA";"PPS";"13.783";"0,082"
"BA";"PR";"53.117";"0,317"
"BA";"PRB";"47.756";"0,285"
"BA";"PROS";"5.623";"0,034"
"BA";"PRP";"24.342";"0,145"
"BA";"PRTB";"8.622";"0,051"
"BA";"PSB";"31.949";"0,190"
"BA";"PSC";"41.428";"0,247"
"BA";"PSD";"28.853";"0,172"
"BA";"PSDB";"63.006";"0,375"
"BA";"PSL";"24.063";"0,143"
"BA";"PSOL";"15.767";"0,094"
"BA";"PSTU";"261";"0,002"
"BA";"PT";"84.068";"0,501"
"BA";"PTB";"64.275";"0,383"
"BA";"PTC";"22.254";"0,133"
"BA";"PV";"21.035";"0,125"
"BA";"REDE";"1.062";"0,006"
"BA";"SD";"11.611";"0,069"
"CE";"AVANTE";"3.990";"0,024"
"CE";"DC";"6.751";"0,040"
"CE";"DEM";"28.273";"0,168"
"CE";"MDB";"48.163";"0,287"
"CE";"NOVO";"382";"0,002"
"CE";"PATRI";"2.670";"0,016"
"CE";"PC DO B";"21.963";"0,131"
"CE";"PCB";"353";"0,002"
"CE";"PCO";"79";"0,000"
"CE";"PDT";"30.396";"0,181"
"CE";"PHS";"10.265";"0,061"
"CE";"PMB";"2.706";"0,016"
"CE";"PMN";"6.174";"0,037"
"CE";"PODE";"7.173";"0,043"
"CE";"PP";"37.253";"0,222"
"CE";"PPL";"2.778";"0,017"
"CE";"PPS";"26.118";"0,156"
"CE";"PR";"21.813";"0,130"
"CE";"PRB";"18.869";"0,112"
"CE";"PROS";"3.078";"0,018"
"CE";"PRP";"7.735";"0,046"
"CE";"PRTB";"5.686";"0,034"
"CE";"PSB";"24.674";"0,147"
"CE";"PSC";"10.583";"0,063"
"CE";"PSD";"9.471";"0,056"
"CE";"PSDB";"57.508";"0,343"
"CE";"PSL";"10.931";"0,065"
"CE";"PSOL";"2.898";"0,017"
"CE";"PSTU";"2.110";"0,013"
"CE";"PT";"79.683";"0,475"
"CE";"PTB";"34.646";"0,206"
"CE";"PTC";"3.219";"0,019"
"CE";"PV";"12.438";"0,074"
"CE";"REDE";"1.129";"0,007"
"CE";"SD";"4.119";"0,025"
"DF";"AVANTE";"2.423";"0,014"
"DF";"DC";"550";"0,003"
"DF";"DEM";"18.394";"0,110"
"DF";"MDB";"25.376";"0,151"
"DF";"NOVO";"602";"0,004"
"DF";"PATRI";"570";"0,003"
"DF";"PC DO B";"1.629";"0,010"
"DF";"PCB";"542";"0,003"
"DF";"PCO";"97";"0,001"
"DF";"PDT";"12.544";"0,075"
"DF";"PHS";"2.963";"0,018"
"DF";"PMB";"222";"0,001"
"DF";"PMN";"2.231";"0,013"
"DF";"PODE";"1.257";"0,007"
"DF";"PP";"18.850";"0,112"
"DF";"PPL";"738";"0,004"
"DF";"PPS";"5.399";"0,032"
"DF";"PR";"11.675";"0,070"
"DF";"PRB";"2.935";"0,017"
"DF";"PROS";"1.126";"0,007"
"DF";"PRP";"1.510";"0,009"
"DF";"PRTB";"3.813";"0,023"
"DF";"PSB";"6.338";"0,038"
"DF";"PSC";"14.016";"0,084"
"DF";"PSD";"496";"0,003"
"DF";"PSDB";"28.138";"0,168"
"DF";"PSL";"1.686";"0,010"
"DF";"PSOL";"3.465";"0,021"
"DF";"PSTU";"502";"0,003"
"DF";"PT";"19.630";"0,117"
"DF";"PTB";"5.215";"0,031"
"DF";"PTC";"2.261";"0,013"
"DF";"PV";"1.072";"0,006"
"DF";"REDE";"593";"0,004"
"DF";"SD";"6.602";"0,039"
"ES";"AVANTE";"6.822";"0,041"
"ES";"DC";"3.418";"0,020"
"ES";"DEM";"16.912";"0,101"
"ES";"MDB";"42.152";"0,251"
"ES";"NOVO";"347";"0,002"
"ES";"PATRI";"1.788";"0,011"
"ES";"PC DO B";"6.201";"0,037"
"ES";"PCB";"428";"0,003"
"ES";"PCO";"125";"0,001"
"ES";"PDT";"31.827";"0,190"
"ES";"PHS";"3.916";"0,023"
"ES";"PMB";"1.982";"0,012"
"ES";"PMN";"10.000";"0,060"
"ES";"PODE";"4.889";"0,029"
"ES";"PP";"31.080";"0,185"
"ES";"PPL";"1.120";"0,007"
"ES";"PPS";"15.319";"0,091"
"ES";"PR";"13.529";"0,081"
"ES";"PRB";"5.622";"0,034"
"ES";"PROS";"3.090";"0,018"
"ES";"PRP";"5.148";"0,031"
"ES";"PRTB";"3.880";"0,023"
"ES";"PSB";"21.453";"0,128"
"ES";"PSC";"8.049";"0,048"
"ES";"PSD";"4.056";"0,024"
"ES";"PSDB";"24.832";"0,148"
"ES";"PSL";"5.532";"0,033"
"ES";"PSOL";"1.356";"0,008"
"ES";"PSTU";"558";"0,003"
"ES";"PT";"24.866";"0,148"
"ES";"PTB";"22.515";"0,134"
"ES";"PTC";"6.498";"0,039"
"ES";"PV";"8.223";"0,049"
"ES";"REDE";"1.620";"0,010"
"ES";"SD";"4.036";"0,024"
"GO";"AVANTE";"5.082";"0,030"
"GO";"DC";"9.627";"0,057"
"GO";"DEM";"46.775";"0,279"
"GO";"MDB";"138.439";"0,825"
"GO";"NOVO";"326";"0,002"
"GO";"PATRI";"2.152";"0,013"
"GO";"PC DO B";"18.196";"0,108"
"GO";"PCB";"440";"0,003"
"GO";"PCO";"86";"0,001"
"GO";"PDT";"24.231";"0,144"
"GO";"PHS";"8.679";"0,052"
"GO";"PMB";"1.517";"0,009"
"GO";"PMN";"6.030";"0,036"
"GO";"PODE";"8.691";"0,052"
"GO";"PP";"56.623";"0,337"
"GO";"PPL";"1.154";"0,007"
"GO";"PPS";"15.495";"0,092"
"GO";"PR";"40.025";"0,239"
"GO";"PRB";"12.623";"0,075"
"GO";"PROS";"7.621";"0,045"
"GO";"PRP";"7.745";"0,046"
"GO";"PRTB";"7.725";"0,046"
"GO";"PSB";"19.433";"0,116"
"GO";"PSC";"14.831";"0,088"
"GO";"PSD";"13.388";"0,080"
"GO";"PSDB";"78.898";"0,470"
"GO";"PSL";"7.925";"0,047"
"GO";"PSOL";"3.088";"0,018"
"GO";"PSTU";"250";"0,001"
"GO";"PT";"46.904";"0,280"
"GO";"PTB";"38.191";"0,228"
"GO";"PTC";"14.430";"0,086"
"GO";"PV";"8.309";"0,050"
"GO";"REDE";"821";"0,005"
"GO";"SD";"7.401";"0,044"
"MA";"AVANTE";"11.564";"0,069"
"MA";"DC";"12.449";"0,074"
"MA";"DEM";"39.127";"0,233"
"MA";"MDB";"49.949";"0,298"
"MA";"NOVO";"77";"0,000"
"MA";"PATRI";"5.573";"0,033"
"MA";"PC DO B";"27.023";"0,161"
"MA";"PCB";"1.883";"0,011"
"MA";"PCO";"39";"0,000"
"MA";"PDT";"42.101";"0,251"
"MA";"PHS";"11.083";"0,066"
"MA";"PMB";"2.323";"0,014"
"MA";"PMN";"13.239";"0,079"
"MA";"PODE";"7.550";"0,045"
"MA";"PP";"35.293";"0,210"
"MA";"PPL";"2.104";"0,013"
"MA";"PPS";"15.166";"0,090"
"MA";"PR";"26.580";"0,158"
"MA";"PRB";"16.524";"0,098"
"MA";"PROS";"4.669";"0,028"
"MA";"PRP";"17.583";"0,105"
"MA";"PRTB";"13.784";"0,082"
"MA";"PSB";"24.120";"0,144"
"MA";"PSC";"17.222";"0,103"
"MA";"PSD";"10.279";"0,061"
"MA";"PSDB";"34.517";"0,206"
"MA";"PSL";"13.840";"0,082"
"MA";"PSOL";"3.795";"0,023"
"MA";"PSTU";"229";"0,001"
"MA";"PT";"27.927";"0,166"
"MA";"PTB";"42.972";"0,256"
"MA";"PTC";"11.049";"0,066"
"MA";"PV";"23.552";"0,140"
"MA";"REDE";"1.016";"0,006"
"MA";"SD";"12.993";"0,077"
"MG";"AVANTE";"23.170";"0,138"
"MG";"DC";"19.800";"0,118"
"MG";"DEM";"143.607";"0,856"
"MG";"MDB";"220.918";"1,317"
"MG";"NOVO";"1.916";"0,011"
"MG";"PATRI";"7.333";"0,044"
"MG";"PC DO B";"31.065";"0,185"
"MG";"PCB";"364";"0,002"
"MG";"PCO";"715";"0,004"
"MG";"PDT";"108.743";"0,648"
"MG";"PHS";"28.919";"0,172"
"MG";"PMB";"1.629";"0,010"
"MG";"PMN";"31.940";"0,190"
"MG";"PODE";"17.209";"0,103"
"MG";"PP";"142.444";"0,849"
"MG";"PPL";"4.083";"0,024"
"MG";"PPS";"50.281";"0,300"
"MG";"PR";"99.537";"0,593"
"MG";"PRB";"33.663";"0,201"
"MG";"PROS";"11.681";"0,070"
"MG";"PRP";"17.773";"0,106"
"MG";"PRTB";"19.017";"0,113"
"MG";"PSB";"50.660";"0,302"
"MG";"PSC";"50.647";"0,302"
"MG";"PSD";"29.728";"0,177"
"MG";"PSDB";"156.105";"0,930"
"MG";"PSL";"26.437";"0,158"
"MG";"PSOL";"5.869";"0,035"
"MG";"PSTU";"1.206";"0,007"
"MG";"PT";"177.924";"1,060"
"MG";"PTB";"141.809";"0,845"
"MG";"PTC";"28.147";"0,168"
"MG";"PV";"48.467";"0,289"
"MG";"REDE";"2.712";"0,016"
"MG";"SD";"22.276";"0,133"
"MS";"AVANTE";"3.656";"0,022"
"MS";"DC";"2.017";"0,012"
"MS";"DEM";"17.326";"0,103"
"MS";"MDB";"50.075";"0,298"
"MS";"NOVO";"327";"0,002"
"MS";"PATRI";"2.497";"0,015"
"MS";"PC DO B";"1.754";"0,010"
"MS";"PCB";"320";"0,002"
"MS";"PCO";"38";"0,000"
"MS";"PDT";"22.479";"0,134"
"MS";"PHS";"2.144";"0,013"
"MS";"PMB";"729";"0,004"
"MS";"PMN";"3.448";"0,021"
"MS";"PODE";"3.508";"0,021"
"MS";"PP";"19.506";"0,116"
"MS";"PPL";"1.198";"0,007"
"MS";"PPS";"7.784";"0,046"
"MS";"PR";"16.292";"0,097"
"MS";"PRB";"18.105";"0,108"
"MS";"PROS";"1.643";"0,010"
"MS";"PRP";"3.209";"0,019"
"MS";"PRTB";"396";"0,002"
"MS";"PSB";"8.192";"0,049"
"MS";"PSC";"5.177";"0,031"
"MS";"PSD";"5.955";"0,035"
"MS";"PSDB";"31.381";"0,187"
"MS";"PSL";"3.064";"0,018"
"MS";"PSOL";"1.749";"0,010"
"MS";"PSTU";"427";"0,003"
"MS";"PT";"36.987";"0,220"
"MS";"PTB";"21.992";"0,131"
"MS";"PTC";"3.773";"0,022"
"MS";"PV";"5.659";"0,034"
"MS";"REDE";"135";"0,001"
"MS";"SD";"5.006";"0,030"
"MT";"AVANTE";"1.144";"0,007"
"MT";"DC";"2.466";"0,015"
"MT";"DEM";"56.650";"0,338"
"MT";"MDB";"40.352";"0,240"
"MT";"NOVO";"392";"0,002"
"MT";"PATRI";"518";"0,003"
"MT";"PC DO B";"1.754";"0,010"
"MT";"PCB";"7";"0,000"
"MT";"PCO";"20";"0,000"
"MT";"PDT";"20.075";"0,120"
"MT";"PHS";"2.292";"0,014"
"MT";"PMB";"1.086";"0,006"
"MT";"PMN";"3.520";"0,021"
"MT";"PODE";"1.483";"0,009"
"MT";"PP";"20.569";"0,123"
"MT";"PPL";"402";"0,002"
"MT";"PPS";"29.740";"0,177"
"MT";"PR";"28.667";"0,171"
"MT";"PRB";"8.815";"0,053"
"MT";"PROS";"1.839";"0,011"
"MT";"PRP";"2.875";"0,017"
"MT";"PRTB";"1.057";"0,006"
"MT";"PSB";"17.084";"0,102"
"MT";"PSC";"10.022";"0,060"
"MT";"PSD";"12.362";"0,074"
"MT";"PSDB";"33.954";"0,202"
"MT";"PSL";"3.503";"0,021"
"MT";"PSOL";"1.238";"0,007"
"MT";"PSTU";"91";"0,001"
"MT";"PT";"20.206";"0,120"
"MT";"PTB";"16.295";"0,097"
"MT";"PTC";"1.279";"0,008"
"MT";"PV";"7.987";"0,048"
"MT";"REDE";"334";"0,002"
"MT";"SD";"10.955";"0,065"
"PA";"AVANTE";"6.091";"0,036"
"PA";"DC";"6.651";"0,040"
"PA";"DEM";"26.211";"0,156"
"PA";"MDB";"68.954";"0,411"
"PA";"NOVO";"204";"0,001"
"PA";"PATRI";"7.179";"0,043"
"PA";"PC DO B";"13.648";"0,081"
"PA";"PCB";"1.364";"0,008"
"PA";"PCO";"11";"0,000"
"PA";"PDT";"28.898";"0,172"
"PA";"PHS";"6.833";"0,041"
"PA";"PMB";"1.485";"0,009"
"PA";"PMN";"8.732";"0,052"
"PA";"PODE";"5.349";"0,032"
"PA";"PP";"28.491";"0,170"
"PA";"PPL";"1.839";"0,011"
"PA";"PPS";"17.121";"0,102"
"PA";"PR";"31.101";"0,185"
"PA";"PRB";"33.966";"0,202"
"PA";"PROS";"5.899";"0,035"
"PA";"PRP";"8.881";"0,053"
"PA";"PRTB";"4.165";"0,025"
"PA";"PSB";"29.207";"0,174"
"PA";"PSC";"26.672";"0,159"
"PA";"PSD";"11.071";"0,066"
"PA";"PSDB";"41.294";"0,246"
"PA";"PSL";"8.190";"0,049"
"PA";"PSOL";"15.543";"0,093"
"PA";"PSTU";"894";"0,005"
"PA";"PT";"61.423";"0,366"
"PA";"PTB";"31.363";"0,187"
"PA";"PTC";"4.694";"0,028"
"PA";"PV";"12.288";"0,073"
"PA";"REDE";"440";"0,003"
"PA";"SD";"11.518";"0,069"
"PB";"AVANTE";"6.548";"0,039"
"PB";"DC";"4.997";"0,030"
"PB";"DEM";"35.741";"0,213"
"PB";"MDB";"49.894";"0,297"
