"Abrangência";"Partido";"Eleitores";"%"
"AL";"PSOL";"4.967";"0,031"
"AL";"PSTU";"222";"0,001"
"AL";"PT";"9.553";"0,060"
"AL";"PTB";"11.693";"0,073"
"AL";"PTC";"2.339";"0,015"
"AL";"PV";"3.775";"0,024"
"AL";"REDE";"243";"0,002"
"AL";"REPUBLICANOS";"5.642";"0,035"
"AL";"SOLIDARIEDADE";"4.681";"0,029"
"AL";"UP";"112";"0,001"
"AM";"AVANTE";"5.158";"0,032"
"AM";"CIDADANIA";"6.350";"0,040"
"AM";"DC";"4.756";"0,030"
"AM";"DEM";"11.522";"0,072"
"AM";"MDB";"15.799";"0,099"
"AM";"NOVO";"291";"0,002"
"AM";"PATRIOTA";"6.646";"0,042"
"AM";"PCB";"763";"0,005"
"AM";"PCDOB";"19.399";"0,121"
"AM";"PCO";"146";"0,001"
"AM";"PDT";"7.839";"0,049"
"AM";"PL";"11.575";"0,072"
"AM";"PMB";"2.501";"0,016"
"AM";"PMN";"5.529";"0,035"
"AM";"PODE";"12.115";"0,076"
"AM";"PP";"15.298";"0,096"
"AM";"PROS";"5.383";"0,034"
"AM";"PRTB";"4.559";"0,028"
"AM";"PSB";"6.188";"0,039"
"AM";"PSC";"16.815";"0,105"
"AM";"PSD";"6.344";"0,040"
"AM";"PSDB";"13.137";"0,082"
"AM";"PSL";"1.385";"0,009"
"AM";"PSOL";"2.718";"0,017"
"AM";"PSTU";"163";"0,001"
"AM";"PT";"22.073";"0,138"
"AM";"PTB";"11.097";"0,069"
"AM";"PTC";"5.570";"0,035"
"AM";"PV";"6.011";"0,038"
"AM";"REDE";"525";"0,003"
"AM";"REPUBLICANOS";"21.421";"0,134"
"AM";"SOLIDARIEDADE";"6.042";"0,038"
"AP";"AVANTE";"1.228";"0,008"
"AP";"CIDADANIA";"1.475";"0,009"
"AP";"DC";"871";"0,005"
"AP";"DEM";"6.261";"0,039"
"AP";"MDB";"5.386";"0,034"
"AP";"NOVO";"47";"0,000"
"AP";"PATRIOTA";"1.340";"0,008"
"AP";"PCB";"198";"0,001"
"AP";"PCDOB";"2.638";"0,016"
"AP";"PCO";"1";"0,000"
"AP";"PDT";"9.782";"0,061"
"AP";"PL";"3.841";"0,024"
"AP";"PMB";"1.024";"0,006"
"AP";"PMN";"778";"0,005"
"AP";"PODE";"4.015";"0,025"
"AP";"PP";"5.889";"0,037"
"AP";"PROS";"2.560";"0,016"
"AP";"PRTB";"1.287";"0,008"
"AP";"PSB";"5.789";"0,036"
"AP";"PSC";"1.327";"0,008"
"AP";"PSD";"2.456";"0,015"
"AP";"PSDB";"7.372";"0,046"
"AP";"PSL";"383";"0,002"
"AP";"PSOL";"11.985";"0,075"
"AP";"PSTU";"197";"0,001"
"AP";"PT";"7.201";"0,045"
"AP";"PTB";"2.489";"0,016"
"AP";"PTC";"510";"0,003"
"AP";"PV";"2.427";"0,015"
"AP";"REDE";"1.949";"0,012"
"AP";"REPUBLICANOS";"3.348";"0,021"
"AP";"SOLIDARIEDADE";"3.544";"0,022"
"BA";"AVANTE";"20.502";"0,128"
"BA";"CIDADANIA";"12.686";"0,079"
"BA";"DC";"10.951";"0,068"
"BA";"DEM";"81.148";"0,507"
"BA";"MDB";"78.348";"0,490"
"BA";"NOVO";"1.682";"0,011"
"BA";"PATRIOTA";"27.262";"0,170"
"BA";"PCB";"490";"0,003"
"BA";"PCDOB";"44.644";"0,279"
"BA";"PCO";"495";"0,003"
"BA";"PDT";"46.072";"0,288"
"BA";"PHS";"19";"0,000"
"BA";"PL";"50.162";"0,313"
"BA";"PMB";"2.106";"0,013"
"BA";"PMN";"11.995";"0,075"
"BA";"PODE";"30.507";"0,191"
"BA";"PP";"72.619";"0,454"
"BA";"PROS";"8.239";"0,051"
"BA";"PRP";"19";"0,000"
"BA";"PRTB";"7.656";"0,048"
"BA";"PSB";"34.474";"0,215"
"BA";"PSC";"38.472";"0,240"
"BA";"PSD";"41.006";"0,256"
"BA";"PSDB";"58.168";"0,363"
"BA";"PSL";"5.243";"0,033"
"BA";"PSOL";"28.794";"0,180"
"BA";"PSTU";"250";"0,002"
"BA";"PT";"85.816";"0,536"
"BA";"PTB";"55.636";"0,348"
"BA";"PTC";"19.808";"0,124"
"BA";"PV";"19.642";"0,123"
"BA";"REDE";"2.698";"0,017"
"BA";"REPUBLICANOS";"51.527";"0,322"
"BA";"SOLIDARIEDADE";"14.183";"0,089"
"BA";"UP";"83";"0,001"
"CE";"AVANTE";"4.125";"0,026"
"CE";"CIDADANIA";"22.751";"0,142"
"CE";"DC";"6.100";"0,038"
"CE";"DEM";"26.126";"0,163"
"CE";"MDB";"45.057";"0,282"
"CE";"NOVO";"515";"0,003"
"CE";"PATRIOTA";"9.172";"0,057"
"CE";"PCB";"325";"0,002"
"CE";"PCDOB";"22.802";"0,142"
"CE";"PCO";"82";"0,001"
"CE";"PDT";"34.957";"0,218"
"CE";"PL";"20.521";"0,128"
"CE";"PMB";"2.474";"0,015"
"CE";"PMN";"6.100";"0,038"
"CE";"PODE";"16.931";"0,106"
"CE";"PP";"34.767";"0,217"
"CE";"PROS";"4.385";"0,027"
"CE";"PRTB";"5.338";"0,033"
"CE";"PSB";"26.444";"0,165"
"CE";"PSC";"9.294";"0,058"
"CE";"PSD";"13.432";"0,084"
"CE";"PSDB";"50.417";"0,315"
"CE";"PSL";"2.600";"0,016"
"CE";"PSOL";"4.727";"0,030"
"CE";"PSTU";"1.897";"0,012"
"CE";"PT";"79.682";"0,498"
"CE";"PTB";"31.418";"0,196"
"CE";"PTC";"3.711";"0,023"
"CE";"PV";"11.958";"0,075"
"CE";"REDE";"2.139";"0,013"
"CE";"REPUBLICANOS";"19.184";"0,120"
"CE";"SOLIDARIEDADE";"4.865";"0,030"
"CE";"UP";"85";"0,001"
"DF";"AVANTE";"2.292";"0,014"
"DF";"CIDADANIA";"4.957";"0,031"
"DF";"DC";"712";"0,004"
"DF";"DEM";"16.635";"0,104"
"DF";"MDB";"25.903";"0,162"
"DF";"NOVO";"625";"0,004"
"DF";"PATRIOTA";"2.146";"0,013"
"DF";"PCB";"468";"0,003"
"DF";"PCDOB";"2.731";"0,017"
"DF";"PCO";"110";"0,001"
"DF";"PDT";"12.198";"0,076"
"DF";"PL";"11.017";"0,069"
"DF";"PMB";"230";"0,001"
"DF";"PMN";"2.160";"0,013"
"DF";"PODE";"4.170";"0,026"
"DF";"PP";"18.526";"0,116"
"DF";"PROS";"1.426";"0,009"
"DF";"PRTB";"3.669";"0,023"
"DF";"PSB";"6.165";"0,039"
"DF";"PSC";"12.503";"0,078"
"DF";"PSD";"603";"0,004"
"DF";"PSDB";"19.590";"0,122"
"DF";"PSL";"210";"0,001"
"DF";"PSOL";"5.259";"0,033"
"DF";"PSTU";"433";"0,003"
"DF";"PT";"30.875";"0,193"
"DF";"PTB";"7.121";"0,044"
"DF";"PTC";"2.191";"0,014"
"DF";"PV";"1.396";"0,009"
"DF";"REDE";"591";"0,004"
"DF";"REPUBLICANOS";"5.052";"0,032"
"DF";"SOLIDARIEDADE";"6.320";"0,039"
"DF";"UP";"17";"0,000"
"ES";"AVANTE";"6.764";"0,042"
"ES";"CIDADANIA";"14.449";"0,090"
"ES";"DC";"3.815";"0,024"
"ES";"DEM";"14.600";"0,091"
"ES";"MDB";"36.990";"0,231"
"ES";"NOVO";"687";"0,004"
"ES";"PATRIOTA";"6.812";"0,043"
"ES";"PCB";"329";"0,002"
"ES";"PCDOB";"6.752";"0,042"
"ES";"PCO";"129";"0,001"
"ES";"PDT";"29.176";"0,182"
"ES";"PL";"12.201";"0,076"
"ES";"PMB";"2.207";"0,014"
"ES";"PMN";"9.332";"0,058"
"ES";"PODE";"9.574";"0,060"
"ES";"PP";"27.080";"0,169"
"ES";"PROS";"3.316";"0,021"
"ES";"PRTB";"4.200";"0,026"
"ES";"PSB";"21.492";"0,134"
"ES";"PSC";"7.605";"0,048"
"ES";"PSD";"4.842";"0,030"
"ES";"PSDB";"25.263";"0,158"
"ES";"PSL";"1.164";"0,007"
"ES";"PSOL";"1.889";"0,012"
"ES";"PSTU";"430";"0,003"
"ES";"PT";"24.239";"0,151"
"ES";"PTB";"19.657";"0,123"
"ES";"PTC";"5.593";"0,035"
"ES";"PV";"8.233";"0,051"
"ES";"REDE";"2.040";"0,013"
"ES";"REPUBLICANOS";"8.063";"0,050"
"ES";"SOLIDARIEDADE";"4.019";"0,025"
"ES";"UP";"1";"0,000"
"GO";"AVANTE";"6.150";"0,038"
"GO";"CIDADANIA";"16.976";"0,106"
"GO";"DC";"9.148";"0,057"
"GO";"DEM";"49.775";"0,311"
"GO";"MDB";"120.603";"0,754"
"GO";"NOVO";"632";"0,004"
"GO";"PATRIOTA";"10.680";"0,067"
"GO";"PCB";"392";"0,002"
"GO";"PCDOB";"17.593";"0,110"
"GO";"PCO";"87";"0,001"
"GO";"PDT";"26.405";"0,165"
"GO";"PL";"37.408";"0,234"
"GO";"PMB";"1.569";"0,010"
"GO";"PMN";"6.355";"0,040"
"GO";"PODE";"20.211";"0,126"
"GO";"PP";"53.936";"0,337"
"GO";"PROS";"8.584";"0,054"
"GO";"PRTB";"9.250";"0,058"
"GO";"PSB";"20.192";"0,126"
"GO";"PSC";"17.149";"0,107"
"GO";"PSD";"14.963";"0,093"
"GO";"PSDB";"71.429";"0,446"
"GO";"PSL";"3.476";"0,022"
"GO";"PSOL";"3.828";"0,024"
"GO";"PSTU";"234";"0,001"
"GO";"PT";"44.519";"0,278"
"GO";"PTB";"34.798";"0,217"
"GO";"PTC";"13.978";"0,087"
"GO";"PV";"10.211";"0,064"
"GO";"REDE";"624";"0,004"
"GO";"REPUBLICANOS";"15.291";"0,096"
"GO";"SOLIDARIEDADE";"9.477";"0,059"
"GO";"UP";"155";"0,001"
"MA";"AVANTE";"12.051";"0,075"
"MA";"CIDADANIA";"13.912";"0,087"
"MA";"DC";"11.256";"0,070"
"MA";"DEM";"37.449";"0,234"
"MA";"MDB";"45.578";"0,285"
"MA";"NOVO";"310";"0,002"
"MA";"PATRIOTA";"21.709";"0,136"
"MA";"PCB";"1.514";"0,009"
"MA";"PCDOB";"30.055";"0,188"
"MA";"PCO";"43";"0,000"
"MA";"PDT";"41.398";"0,259"
"MA";"PL";"30.434";"0,190"
"MA";"PMB";"2.535";"0,016"
"MA";"PMN";"12.153";"0,076"
"MA";"PODE";"17.359";"0,108"
"MA";"PP";"34.412";"0,215"
"MA";"PROS";"5.090";"0,032"
"MA";"PRTB";"12.427";"0,078"
"MA";"PSB";"22.033";"0,138"
"MA";"PSC";"18.482";"0,115"
"MA";"PSD";"11.649";"0,073"
"MA";"PSDB";"33.172";"0,207"
"MA";"PSL";"3.388";"0,021"
"MA";"PSOL";"5.000";"0,031"
"MA";"PSTU";"245";"0,002"
"MA";"PT";"29.266";"0,183"
"MA";"PTB";"40.012";"0,250"
"MA";"PTC";"11.033";"0,069"
"MA";"PV";"20.773";"0,130"
"MA";"REDE";"1.415";"0,009"
"MA";"REPUBLICANOS";"19.498";"0,122"
"MA";"SOLIDARIEDADE";"15.322";"0,096"
"MA";"UP";"5";"0,000"
"MG";"AVANTE";"34.353";"0,215"
"MG";"CIDADANIA";"48.793";"0,305"
"MG";"DC";"18.416";"0,115"
"MG";"DEM";"132.175";"0,826"
"MG";"MDB";"195.276";"1,220"
"MG";"NOVO";"4.601";"0,029"
"MG";"PATRIOTA";"31.185";"0,195"
"MG";"PCB";"419";"0,003"
"MG";"PCDOB";"33.475";"0,209"
"MG";"PCO";"731";"0,005"
"MG";"PDT";"104.179";"0,651"
"MG";"PL";"91.607";"0,572"
"MG";"PMB";"2.298";"0,014"
"MG";"PMN";"30.277";"0,189"
"MG";"PODE";"45.129";"0,282"
"MG";"PP";"124.407";"0,777"
"MG";"PROS";"11.933";"0,075"
"MG";"PRP";"1";"0,000"
"MG";"PRTB";"18.747";"0,117"
"MG";"PSB";"50.728";"0,317"
"MG";"PSC";"49.213";"0,308"
"MG";"PSD";"39.084";"0,244"
"MG";"PSDB";"144.437";"0,903"
"MG";"PSL";"9.777";"0,061"
"MG";"PSOL";"8.531";"0,053"
"MG";"PSTU";"1.164";"0,007"
"MG";"PT";"167.930";"1,049"
"MG";"PTB";"128.007";"0,800"
"MG";"PTC";"25.887";"0,162"
"MG";"PV";"47.522";"0,297"
"MG";"REDE";"5.000";"0,031"
"MG";"REPUBLICANOS";"39.798";"0,249"
"MG";"SOLIDARIEDADE";"29.106";"0,182"
"MG";"UP";"172";"0,001"
"MS";"AVANTE";"3.738";"0,023"
"MS";"CIDADANIA";"7.116";"0,044"
"MS";"DC";"1.795";"0,011"
"MS";"DEM";"17.933";"0,112"
"MS";"MDB";"45.090";"0,282"
"MS";"NOVO";"534";"0,003"
"MS";"PATRIOTA";"6.699";"0,042"
"MS";"PCB";"242";"0,002"
"MS";"PCDOB";"2.886";"0,018"
"MS";"PCO";"42";"0,000"
"MS";"PDT";"20.525";"0,128"
"MS";"PL";"13.805";"0,086"
"MS";"PMB";"695";"0,004"
"MS";"PMN";"3.231";"0,020"
"MS";"PODE";"7.766";"0,049"
"MS";"PP";"17.816";"0,111"
"MS";"PROS";"1.282";"0,008"
"MS";"PRTB";"446";"0,003"
"MS";"PSB";"7.880";"0,049"
"MS";"PSC";"4.691";"0,029"
"MS";"PSD";"10.168";"0,064"
"MS";"PSDB";"32.283";"0,202"
"MS";"PSL";"1.230";"0,008"
"MS";"PSOL";"2.425";"0,015"
"MS";"PSTU";"335";"0,002"
"MS";"PT";"33.959";"0,212"
"MS";"PTB";"19.361";"0,121"
"MS";"PTC";"3.000";"0,019"
"MS";"PV";"4.945";"0,031"
"MS";"REDE";"365";"0,002"
"MS";"REPUBLICANOS";"15.457";"0,097"
"MS";"SOLIDARIEDADE";"6.043";"0,038"
"MT";"AVANTE";"1.024";"0,006"
"MT";"CIDADANIA";"24.895";"0,156"
"MT";"DC";"3.366";"0,021"
"MT";"DEM";"47.800";"0,299"
"MT";"MDB";"37.419";"0,234"
"MT";"NOVO";"589";"0,004"
"MT";"PATRIOTA";"5.451";"0,034"
"MT";"PCB";"27";"0,000"
"MT";"PCDOB";"2.382";"0,015"
"MT";"PCO";"24";"0,000"
"MT";"PDT";"19.502";"0,122"
"MT";"PL";"25.952";"0,162"
"MT";"PMB";"1.211";"0,008"
"MT";"PMN";"3.317";"0,021"
"MT";"PODE";"7.515";"0,047"
"MT";"PP";"20.302";"0,127"
"MT";"PROS";"3.499";"0,022"
"MT";"PRTB";"1.705";"0,011"
"MT";"PSB";"17.933";"0,112"
"MT";"PSC";"11.351";"0,071"
"MT";"PSD";"12.633";"0,079"
"MT";"PSDB";"30.265";"0,189"
"MT";"PSL";"1.429";"0,009"
"MT";"PSOL";"1.227";"0,008"
"MT";"PSTU";"92";"0,001"
"MT";"PT";"19.218";"0,120"
"MT";"PTB";"15.695";"0,098"
"MT";"PTC";"1.358";"0,008"
"MT";"PV";"7.726";"0,048"
"MT";"REDE";"343";"0,002"
"MT";"REPUBLICANOS";"9.852";"0,062"
"MT";"SOLIDARIEDADE";"12.028";"0,075"
"MT";"UP";"2";"0,000"
"PA";"AVANTE";"7.451";"0,047"
"PA";"CIDADANIA";"15.520";"0,097"
"PA";"DC";"6.355";"0,040"
"PA";"DEM";"26.359";"0,165"
"PA";"MDB";"70.913";"0,443"
"PA";"NOVO";"626";"0,004"
"PA";"PATRIOTA";"17.453";"0,109"
"PA";"PCB";"1.208";"0,008"
"PA";"PCDOB";"15.051";"0,094"
"PA";"PCO";"19";"0,000"
"PA";"PDT";"29.540";"0,185"
"PA";"PL";"33.593";"0,210"
"PA";"PMB";"2.235";"0,014"
"PA";"PMN";"8.526";"0,053"
"PA";"PODE";"14.202";"0,089"
"PA";"PP";"27.722";"0,173"
"PA";"PROS";"7.704";"0,048"
"PA";"PRTB";"5.497";"0,034"
"PA";"PSB";"28.449";"0,178"
"PA";"PSC";"29.883";"0,187"
"PA";"PSD";"15.319";"0,096"
"PA";"PSDB";"40.038";"0,250"
"PA";"PSL";"1.598";"0,010"
"PA";"PSOL";"23.874";"0,149"
"PA";"PSTU";"824";"0,005"
"PA";"PT";"58.817";"0,368"
"PA";"PTB";"30.784";"0,192"
"PA";"PTC";"6.575";"0,041"
"PA";"PV";"12.148";"0,076"
"PA";"REDE";"904";"0,006"
"PA";"REPUBLICANOS";"35.712";"0,223"
"PA";"SOLIDARIEDADE";"14.784";"0,092"
"PA";"UP";"27";"0,000"
"PB";"AVANTE";"7.950";"0,050"
"PB";"CIDADANIA";"11.750";"0,073"
"PB";"DC";"4.723";"0,030"
"PB";"DEM";"32.419";"0,203"
"PB";"MDB";"43.352";"0,271"
"PB";"NOVO";"221";"0,001"
"PB";"PATRIOTA";"6.702";"0,042"
"PB";"PCB";"27";"0,000"
"PB";"PCDOB";"8.193";"0,051"
"PB";"PCO";"111";"0,001"
"PB";"PDT";"15.580";"0,097"
"PB";"PL";"17.184";"0,107"
"PB";"PMB";"837";"0,005"
"PB";"PMN";"2.714";"0,017"
"PB";"PODE";"7.178";"0,045"
"PB";"PP";"24.860";"0,155"
"PB";"PROS";"2.747";"0,017"
"PB";"PRTB";"3.111";"0,019"
"PB";"PSB";"16.842";"0,105"
"PB";"PSC";"6.090";"0,038"
"PB";"PSD";"9.550";"0,060"
"PB";"PSDB";"30.867";"0,193"
"PB";"PSL";"2.578";"0,016"
"PB";"PSOL";"1.816";"0,011"
"PB";"PSTU";"92";"0,001"
"PB";"PT";"26.923";"0,168"
"PB";"PTB";"19.365";"0,121"
"PB";"PTC";"2.822";"0,018"
"PB";"PV";"6.230";"0,039"
"PB";"REDE";"981";"0,006"
"PB";"REPUBLICANOS";"12.920";"0,081"
"PB";"SOLIDARIEDADE";"2.913";"0,018"
"PB";"UP";"136";"0,001"
"PE";"AVANTE";"8.701";"0,054"
"PE";"CIDADANIA";"15.538";"0,097"
"PE";"DC";"10.034";"0,063"
"PE";"DEM";"33.460";"0,209"
"PE";"MDB";"47.100";"0,294"
"PE";"NOVO";"513";"0,003"
"PE";"PATRIOTA";"11.502";"0,072"
"PE";"PCB";"1.052";"0,007"
"PE";"PCDOB";"20.943";"0,131"
"PE";"PCO";"140";"0,001"
"PE";"PDT";"43.508";"0,272"
"PE";"PHS";"51";"0,000"
"PE";"PL";"27.461";"0,172"
"PE";"PMB";"1.105";"0,007"
"PE";"PMN";"15.413";"0,096"
"PE";"PODE";"16.114";"0,101"
"PE";"PP";"51.699";"0,323"
"PE";"PPL";"56";"0,000"
"PE";"PROS";"3.910";"0,024"
"PE";"PRP";"53";"0,000"
"PE";"PRTB";"6.156";"0,038"
"PE";"PSB";"34.522";"0,216"
"PE";"PSC";"14.036";"0,088"
"PE";"PSD";"9.667";"0,060"
"PE";"PSDB";"35.814";"0,224"
"PE";"PSL";"4.208";"0,026"
"PE";"PSOL";"12.394";"0,077"
"PE";"PSTU";"276";"0,002"
"PE";"PT";"60.351";"0,377"
"PE";"PTB";"33.594";"0,210"
"PE";"PTC";"12.563";"0,079"
"PE";"PV";"13.088";"0,082"
"PE";"REDE";"1.439";"0,009"
"PE";"REPUBLICANOS";"13.426";"0,084"
"PE";"SOLIDARIEDADE";"11.907";"0,074"
"PE";"UP";"359";"0,002"
"PI";"AVANTE";"1.812";"0,011"
"PI";"CIDADANIA";"11.313";"0,071"
"PI";"DC";"1.597";"0,010"
"PI";"DEM";"22.822";"0,143"
"PI";"MDB";"40.104";"0,251"
"PI";"NOVO";"281";"0,002"
"PI";"PATRIOTA";"8.317";"0,052"
"PI";"PCB";"504";"0,003"
"PI";"PCDOB";"11.425";"0,071"
"PI";"PCO";"52";"0,000"
"PI";"PDT";"13.291";"0,083"
"PI";"PL";"12.468";"0,078"
"PI";"PMB";"1.476";"0,009"
"PI";"PMN";"3.963";"0,025"
"PI";"PODE";"4.592";"0,029"
"PI";"PP";"26.760";"0,167"
"PI";"PROS";"1.766";"0,011"
"PI";"PRTB";"4.602";"0,029"
"PI";"PSB";"15.170";"0,095"
"PI";"PSC";"4.036";"0,025"
"PI";"PSD";"13.027";"0,081"
"PI";"PSDB";"23.427";"0,146"
"PI";"PSL";"1.570";"0,010"
"PI";"PSOL";"1.672";"0,010"
"PI";"PSTU";"221";"0,001"
"PI";"PT";"30.204";"0,189"
"PI";"PTB";"24.130";"0,151"
"PI";"PTC";"3.218";"0,020"
"PI";"PV";"5.774";"0,036"
"PI";"REDE";"451";"0,003"
"PI";"REPUBLICANOS";"9.197";"0,057"
"PI";"SOLIDARIEDADE";"5.629";"0,035"
"PI";"UP";"41";"0,000"
"PR";"AVANTE";"7.078";"0,044"
"PR";"CIDADANIA";"32.489";"0,203"
"PR";"DC";"8.642";"0,054"
"PR";"DEM";"63.922";"0,399"
"PR";"MDB";"155.266";"0,970"
"PR";"NOVO";"2.274";"0,014"
"PR";"PATRIOTA";"16.862";"0,105"
"PR";"PCB";"488";"0,003"
"PR";"PCDOB";"9.151";"0,057"
"PR";"PCO";"105";"0,001"
"PR";"PDT";"66.566";"0,416"
"PR";"PL";"47.710";"0,298"
"PR";"PMB";"1.686";"0,011"
"PR";"PMN";"9.709";"0,061"
"PR";"PODE";"28.513";"0,178"
"PR";"PP";"97.568";"0,610"
"PR";"PROS";"10.640";"0,066"
"PR";"PRTB";"7.728";"0,048"
"PR";"PSB";"33.323";"0,208"
"PR";"PSC";"42.153";"0,263"
"PR";"PSD";"36.510";"0,228"
"PR";"PSDB";"75.886";"0,474"
"PR";"PSL";"7.144";"0,045"
"PR";"PSOL";"3.858";"0,024"
"PR";"PSTU";"197";"0,001"
"PR";"PT";"74.261";"0,464"
"PR";"PTB";"59.116";"0,369"
"PR";"PTC";"10.474";"0,065"
"PR";"PV";"27.719";"0,173"
"PR";"REDE";"818";"0,005"
"PR";"REPUBLICANOS";"18.725";"0,117"
"PR";"SOLIDARIEDADE";"9.007";"0,056"
"PR";"UP";"1";"0,000"
"RJ";"AVANTE";"24.220";"0,151"
"RJ";"CIDADANIA";"21.356";"0,133"
"RJ";"DC";"15.322";"0,096"
"RJ";"DEM";"36.406";"0,227"
"RJ";"MDB";"125.220";"0,782"
"RJ";"NOVO";"3.432";"0,021"
"RJ";"PATRIOTA";"19.127";"0,120"
"RJ";"PCB";"1.237";"0,008"
"RJ";"PCDOB";"28.784";"0,180"
"RJ";"PCO";"335";"0,002"
"RJ";"PDT";"160.948";"1,006"
"RJ";"PL";"51.084";"0,319"
"RJ";"PMB";"6.396";"0,040"
"RJ";"PMN";"19.403";"0,121"
"RJ";"PODE";"32.622";"0,204"
"RJ";"PP";"54.535";"0,341"
"RJ";"PROS";"6.319";"0,039"
"RJ";"PRTB";"10.320";"0,064"
"RJ";"PSB";"39.885";"0,249"
"RJ";"PSC";"24.731";"0,155"
"RJ";"PSD";"8.404";"0,053"
"RJ";"PSDB";"83.584";"0,522"
"RJ";"PSL";"3.558";"0,022"
"RJ";"PSOL";"22.961";"0,143"
"RJ";"PSTU";"1.611";"0,010"
"RJ";"PT";"111.119";"0,694"
"RJ";"PTB";"45.012";"0,281"
"RJ";"PTC";"15.586";"0,097"
"RJ";"PV";"20.931";"0,131"
"RJ";"REDE";"2.297";"0,014"
"RJ";"REPUBLICANOS";"23.084";"0,144"
"RJ";"SOLIDARIEDADE";"10.831";"0,068"
"RJ";"UP";"289";"0,002"
"RN";"AVANTE";"2.760";"0,017"
"RN";"CIDADANIA";"8.100";"0,051"
"RN";"DC";"3.107";"0,019"
"RN";"DEM";"23.094";"0,144"
"RN";"MDB";"36.171";"0,226"
"RN";"NOVO";"301";"0,002"
"RN";"PATRIOTA";"4.048";"0,025"
"RN";"PCB";"147";"0,001"
"RN";"PCDOB";"7.935";"0,050"
"RN";"PCO";"31";"0,000"
"RN";"PDT";"11.173";"0,070"
"RN";"PL";"17.349";"0,108"
"RN";"PMB";"1.345";"0,008"
"RN";"PMN";"5.894";"0,037"
"RN";"PODE";"8.720";"0,054"
"RN";"PP";"19.099";"0,119"
"RN";"PROS";"2.462";"0,015"
"RN";"PRTB";"996";"0,006"
"RN";"PSB";"14.065";"0,088"
"RN";"PSC";"5.422";"0,034"
"RN";"PSD";"11.025";"0,069"
"RN";"PSDB";"21.666";"0,135"
"RN";"PSL";"751";"0,005"
"RN";"PSOL";"6.932";"0,043"
"RN";"PSTU";"854";"0,005"
"RN";"PT";"14.106";"0,088"
"RN";"PTB";"11.793";"0,074"
"RN";"PTC";"1.563";"0,010"
"RN";"PV";"7.016";"0,044"
"RN";"REDE";"498";"0,003"
"RN";"REPUBLICANOS";"9.413";"0,059"
"RN";"SOLIDARIEDADE";"7.046";"0,044"
"RN";"UP";"34";"0,000"
"RO";"AVANTE";"1.851";"0,012"
"RO";"CIDADANIA";"3.084";"0,019"
"RO";"DC";"4.770";"0,030"
"RO";"DEM";"9.652";"0,060"
"RO";"MDB";"20.501";"0,128"
"RO";"NOVO";"134";"0,001"
"RO";"PATRIOTA";"3.999";"0,025"
"RO";"PCB";"96";"0,001"
"RO";"PCDOB";"3.139";"0,020"
"RO";"PCO";"16";"0,000"
"RO";"PDT";"10.046";"0,063"
"RO";"PL";"5.643";"0,035"
"RO";"PMB";"25";"0,000"
"RO";"PMN";"2.290";"0,014"
"RO";"PODE";"6.799";"0,042"
"RO";"PP";"14.135";"0,088"
"RO";"PROS";"1.690";"0,011"
"RO";"PRTB";"866";"0,005"
"RO";"PSB";"7.409";"0,046"
"RO";"PSC";"4.898";"0,031"
