"Abrangência";"Partido";"Eleitores";"%"
"AC";"AVANTE";"671";"0,004"
"AC";"CIDADANIA";"1.333";"0,008"
"AC";"DC";"1.124";"0,007"
"AC";"DEM";"3.240";"0,020"
"AC";"MDB";"9.023";"0,056"
"AC";"NOVO";"25";"0,000"
"AC";"PATRIOTA";"1.121";"0,007"
"AC";"PCB";"72";"0,000"
"AC";"PCDOB";"7.595";"0,047"
"AC";"PCO";"35";"0,000"
"AC";"PDT";"2.627";"0,016"
"AC";"PL";"2.148";"0,013"
"AC";"PMB";"1.190";"0,007"
"AC";"PMN";"1.161";"0,007"
"AC";"PODE";"3.968";"0,025"
"AC";"PP";"6.921";"0,043"
"AC";"PROS";"1.741";"0,011"
"AC";"PRTB";"1.165";"0,007"
"AC";"PSB";"3.840";"0,024"
"AC";"PSC";"1.478";"0,009"
"AC";"PSD";"1.794";"0,011"
"AC";"PSDB";"6.097";"0,038"
"AC";"PSL";"383";"0,002"
"AC";"PSOL";"1.970";"0,012"
"AC";"PSTU";"71";"0,000"
"AC";"PT";"9.065";"0,057"
"AC";"PTB";"1.684";"0,011"
"AC";"PTC";"901";"0,006"
"AC";"PV";"1.623";"0,010"
"AC";"REDE";"84";"0,001"
"AC";"REPUBLICANOS";"1.924";"0,012"
"AC";"SOLIDARIEDADE";"1.191";"0,007"
"AL";"AVANTE";"4.001";"0,025"
"AL";"CIDADANIA";"5.430";"0,034"
"AL";"DC";"2.069";"0,013"
"AL";"DEM";"9.501";"0,059"
"AL";"MDB";"18.041";"0,113"
"AL";"NOVO";"151";"0,001"
"AL";"PATRIOTA";"7.985";"0,050"
"AL";"PCB";"36";"0,000"
"AL";"PCDOB";"3.988";"0,025"
"AL";"PCO";"75";"0,000"
"AL";"PDT";"9.350";"0,058"
"AL";"PL";"8.359";"0,052"
"AL";"PMB";"228";"0,001"
"AL";"PMN";"3.993";"0,025"
"AL";"PODE";"5.526";"0,035"
"AL";"PP";"17.703";"0,111"
"AL";"PROS";"2.524";"0,016"
"AL";"PRTB";"2.957";"0,018"
"AL";"PSB";"12.634";"0,079"
"AL";"PSC";"6.080";"0,038"
"AL";"PSD";"3.834";"0,024"
"AL";"PSDB";"12.593";"0,079"
"AL";"PSL";"1.409";"0,009"
